Postcode,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation,Inadequately described,Not stated,Total
3095,248,13483,86,117,36,91,11603,145,1951,27770
3096,18,861,9,3,0,8,880,13,171,1966
3097,7,617,3,3,0,3,682,4,122,1443
3099,54,2020,3,5,0,28,2336,33,402,4877
3101,749,11481,393,146,192,155,9100,139,2243,24604
3102,161,3417,103,35,61,42,2281,31,513,6634
3103,796,7045,427,144,51,89,5556,61,1180,15343
3104,1079,9958,519,274,99,150,6715,78,1535,20404
3105,456,6525,130,168,10,93,2652,31,808,10877
3106,541,8981,310,558,55,247,4683,48,1200,16620
3107,483,7765,176,268,56,82,3689,31,1007,13557
3108,1199,9574,324,504,116,279,7131,68,1636,20823
3109,1513,13800,575,867,81,339,9171,83,1931,28357
3111,319,6865,159,171,29,167,3660,51,917,12348
3113,96,3748,46,28,17,37,3758,54,668,8460
3114,33,2176,13,13,0,14,1324,21,221,3823
3115,26,2079,8,4,0,0,1405,10,261,3799
3116,81,5430,47,41,10,65,3508,38,655,9872
3121,1597,10587,269,454,145,87,13882,230,3240,30502
3122,746,8976,987,634,210,124,9289,131,2418,23508
3123,376,5668,485,229,290,85,5816,92,1274,14319
3124,525,10614,531,153,149,102,8117,99,1802,22091
3125,993,6001,545,330,53,115,5741,78,1168,15021
3126,218,3849,130,36,59,36,3072,32,625,8060
3127,448,8868,330,74,38,80,7183,82,1343,18445
3128,1243,7005,600,271,25,148,8707,91,1736,19832
3129,921,7662,325,172,31,132,6953,50,1120,17374
3130,1184,15358,689,342,44,376,11606,149,2433,32171
3131,1258,10212,739,427,31,304,7760,92,1685,22499
3132,554,7361,378,211,14,227,6156,93,1151,16148
3133,1054,10925,602,262,27,202,7512,83,1452,22119
3134,727,16899,499,271,35,351,11521,166,2308,32782
3135,442,9747,271,113,10,225,7553,130,1452,19954
3136,631,22676,429,197,28,366,16628,260,3156,44373
3137,134,6975,54,54,4,91,5378,83,1092,13872
3138,233,11406,185,96,20,169,8177,128,1549,21964
3139,114,6179,17,0,8,43,6211,65,1078,13722
3140,130,8694,105,21,7,75,6278,99,1121,16532
3141,784,8455,530,414,510,94,10888,157,3321,25149
3142,290,5522,211,73,1205,52,4050,47,1458,12912
3143,175,3928,295,45,533,39,3094,36,908,9052
3144,141,5303,174,56,638,41,3490,49,981,10885
3145,698,10950,497,218,612,106,8312,120,1786,23294
3146,544,11954,858,177,501,117,9059,129,1921,25256
3147,498,6874,301,229,106,99,5265,70,1203,14634
3148,556,3623,321,232,72,106,2855,59,811,8643
3149,2336,15112,1472,495,93,284,11070,133,2617,33612
3150,5038,26335,3928,1104,107,743,18622,208,3990,60082
3151,754,4762,391,151,12,110,3357,33,708,10269
3152,1883,16681,1339,362,31,382,10232,133,2056,33089
3153,621,9605,471,152,19,314,7435,129,1807,20552
3154,32,1897,15,7,6,19,2007,35,392,4418
3155,511,10076,470,184,21,213,8798,159,1761,22193
3156,793,18885,448,323,49,241,13754,236,2733,37458
3158,78,2427,13,8,18,33,3512,71,490,6648
3159,30,941,5,10,10,16,1318,28,296,2652
3160,113,3329,18,8,21,66,4654,79,723,9014
3161,203,2922,376,77,6319,53,3698,94,1525,15271
3162,247,4214,274,78,6270,93,4493,90,1688,17452
3163,981,11609,2990,361,1938,236,11600,154,2488,32355
3165,587,13068,653,158,2544,194,8223,105,2105,27636
3166,829,11679,1177,371,162,257,7148,131,2009,23759
3167,377,5003,337,133,209,85,2341,40,731,9259
3168,1440,5970,1443,1101,40,545,7821,103,1729,20200
3169,1754,9515,1409,965,138,814,3944,67,1506,20122
3170,1360,10303,700,604,44,281,4567,62,1452,19370
3171,4899,6390,730,2048,19,1390,4272,102,1861,21713
3172,4475,10058,426,485,108,526,5110,68,1838,23091
3173,4852,10839,1144,1304,44,462,5337,73,1729,25785
3174,5733,15241,1587,3553,63,2096,6787,175,3230,38465
3175,2889,20506,3856,11675,41,1599,7285,203,5240,53297
3177,515,4790,587,2048,3,245,2003,62,1051,11305
3178,1555,18181,952,609,38,380,9811,134,2007,33669
3179,410,3075,231,101,3,60,1690,28,416,6019
3180,320,3679,219,90,10,60,2515,29,554,7462
3181,379,6985,281,260,674,88,8874,152,2559,20267
3182,391,6741,565,216,470,129,10774,225,3880,23394
3183,276,4226,487,106,3870,102,7117,128,2180,18491
3184,191,4853,149,79,472,66,7684,132,1927,15547
3185,218,4184,252,49,2143,49,4729,71,1245,12932
3186,355,11739,85,82,744,47,7924,101,2169,23258
3187,251,7619,149,71,1402,64,5048,59,1336,15997
3188,202,8775,116,100,289,67,6827,68,1643,18082
3189,129,2740,136,57,215,89,1925,42,566,5894
3190,143,4892,146,129,178,59,3989,52,876,10457
3191,90,5013,44,36,57,22,4038,45,897,10242
3192,401,11177,411,288,294,183,7726,119,1698,22292
3193,162,10206,51,65,91,49,7210,77,1586,19505
3194,217,6453,158,114,113,69,4766,67,999,12965
3195,762,18661,534,282,203,195,12370,156,2700,35867
3196,357,12717,207,155,93,127,9236,175,2254,25329
3197,222,6009,97,77,31,32,4016,62,1001,11547
3198,186,7341,84,79,62,93,6833,118,1663,16462
3199,635,25238,334,249,104,338,21847,383,5181,54299
3200,61,2428,30,51,10,64,2249,57,805,5759
3201,374,9637,623,282,27,172,7633,162,1809,20713
3202,73,1417,71,40,73,22,927,25,261,2907
3204,655,12761,1125,204,2295,235,10863,160,2342,30642
3205,274,4024,165,241,175,42,4521,65,1414,10919
3206,96,4729,153,44,80,18,4138,55,1045,10366
3207,241,7231,90,234,135,49,6283,76,1838,16180
3211,4,671,14,45,0,7,419,3,154,1319
3212,149,8669,71,81,5,61,5416,81,2119,16650
3213,44,2472,9,71,0,25,1046,9,356,4032
3214,388,11363,105,1027,21,187,8228,125,2517,23960
3215,217,12372,168,315,10,153,5487,102,1801,20615
3216,601,29973,633,577,24,429,19384,287,4378,56285
3217,79,3126,46,43,0,35,2667,38,579,6607
3218,110,7043,157,125,9,96,4690,95,1108,13438
3219,201,10143,170,65,6,125,7078,99,1825,19719
3220,175,8754,213,138,10,91,5349,102,1531,16352
3221,0,411,0,0,0,0,243,0,87,754
3222,94,8195,14,15,3,35,5338,85,1182,14962
3223,63,4201,3,10,3,15,2308,30,770,7401
3224,90,7935,64,41,0,48,4767,88,1154,14187
3225,22,2202,5,4,0,0,1410,25,389,4058
3226,114,7255,20,16,3,33,5679,69,968,14161
3227,34,2194,12,11,0,3,2054,25,478,4821
3228,129,8432,29,24,16,29,7803,101,1370,17939
3230,3,1121,4,0,0,14,1135,20,251,2548
3231,16,428,6,0,3,11,658,5,139,1257
3232,12,501,8,4,4,6,427,9,147,1111
3233,30,817,14,9,0,12,926,15,214,2029
3234,0,69,0,0,0,0,88,0,26,179
3235,5,120,0,0,0,5,201,0,51,380
3236,3,80,0,3,0,0,116,0,30,230
3237,0,85,0,0,0,3,107,0,21,218
3238,0,59,0,4,0,3,107,0,38,219
3239,5,148,0,0,0,3,208,6,57,423
3240,4,1025,0,4,5,6,813,14,151,2026
3241,3,1311,7,0,0,10,954,19,256,2565
3242,4,352,0,0,0,0,370,3,97,828
3243,0,190,0,0,0,5,141,0,24,357
3249,12,1868,0,5,0,5,1001,8,305,3204
3250,58,6894,21,99,4,22,4003,45,1103,12250
3251,0,296,0,0,0,0,164,0,56,522
3254,3,161,0,0,0,3,112,0,30,307
3260,16,3068,0,18,0,14,1177,18,459,4768
3264,8,1452,0,0,0,5,574,5,244,2289
3265,3,1555,0,0,0,11,765,4,284,2614
3266,21,1841,0,4,0,0,931,4,263,3071
3267,0,120,4,0,0,0,94,0,35,245
3268,7,1421,0,0,0,3,900,4,269,2601
3269,0,328,0,0,0,0,274,5,117,729
3270,3,133,0,0,0,0,86,0,29,251
3271,0,115,0,0,0,0,66,0,13,193
3272,0,913,0,0,0,8,475,4,137,1533
3273,0,61,0,0,0,0,53,0,26,146
3274,0,137,0,0,0,0,71,0,29,242
3275,0,247,0,0,0,0,149,0,28,426
3276,0,295,0,0,0,4,147,0,41,479
3277,3,1069,0,4,0,7,613,5,225,1922
3278,0,165,0,0,0,0,98,3,47,315
3279,0,173,0,0,0,0,72,0,41,291
3280,249,17645,102,81,16,85,10194,153,3050,31568
3281,7,935,0,0,0,0,589,6,158,1702
3282,14,1408,3,0,0,4,715,8,211,2363
3283,3,761,0,0,0,3,431,20,149,1361
3284,21,1916,5,3,0,17,1115,15,346,3437
3285,5,648,4,0,0,5,409,7,134,1210
3286,5,357,0,0,0,0,155,3,44,564
3287,0,264,0,0,0,0,120,0,57,436
3289,3,503,0,0,0,6,159,5,78,757
3292,4,99,3,0,0,0,71,0,16,187
3293,0,186,0,0,0,4,72,0,37,302
3294,0,560,0,0,3,3,273,0,105,954
3300,56,6096,33,14,5,28,3028,37,799,10087
3301,0,804,0,0,0,0,287,13,111,1212
3302,0,225,0,0,0,0,101,0,42,371
3303,0,185,0,0,0,0,106,0,43,338
3304,18,1446,3,4,5,14,937,10,293,2725
3305,84,6700,24,26,0,48,4503,73,1359,12815
3309,0,94,0,0,0,0,16,0,14,126
3310,0,154,0,0,0,6,86,0,28,272
3311,7,1062,0,0,0,0,478,0,144,1696
3312,3,547,0,6,0,5,354,3,121,1033
3314,0,343,0,0,0,0,130,0,45,525
3315,8,1032,0,0,0,6,431,9,146,1629
3317,0,132,0,0,0,0,45,0,20,197
3318,3,771,0,6,0,0,340,8,131,1265
3319,0,222,0,4,0,3,98,0,19,345
3321,6,828,0,0,0,4,541,3,138,1519
3322,4,98,0,0,0,0,54,0,16,176
3323,0,66,0,0,0,0,15,0,8,88
3324,10,284,3,0,0,0,180,0,46,531
3325,0,272,0,0,0,0,148,0,59,480
3328,17,827,0,4,0,5,731,5,131,1720
3329,4,156,0,0,0,0,109,0,22,284
3330,0,102,0,0,0,5,96,0,18,222
3331,21,3307,3,22,3,15,2171,31,426,5996
3332,5,537,0,0,0,3,373,0,92,1013
3333,0,437,0,0,0,4,316,9,65,827
3334,0,299,0,0,0,4,175,0,82,566
3335,170,3266,250,307,0,256,932,24,660,5859
3337,427,20367,494,619,10,368,10680,176,3320,36455
3338,327,12467,492,528,7,512,6948,140,1990,23419
3340,144,11174,114,44,10,165,7661,133,1672,21123
3341,13,812,0,4,0,4,668,9,165,1666
3342,19,1922,0,0,3,15,1162,9,306,3440
3345,5,596,0,6,3,0,403,11,133,1151
3350,540,29725,470,279,35,355,22317,385,5043,59147
3351,43,4236,11,3,3,40,3023,47,753,8169
3352,69,8788,15,29,6,55,5293,65,1674,16000
3355,81,6765,72,48,5,61,4733,72,1168,13016
3356,90,8259,52,71,0,94,6297,82,1379,16322
3357,7,1851,3,0,0,5,1482,19,344,3714
3360,3,375,0,0,0,3,282,5,98,765
3361,0,409,0,0,0,0,169,3,94,680
3363,14,1676,10,0,3,25,1273,20,452,3476
3364,21,1044,0,5,3,12,783,9,273,2149
3370,10,854,5,10,5,9,698,13,188,1782
3371,6,484,0,5,0,15,356,4,126,990
3373,17,1242,0,8,0,5,776,5,246,2291
3374,0,216,0,0,0,0,162,0,16,399
3375,0,119,0,0,0,0,61,0,29,206
3377,34,4626,28,50,3,39,3156,32,1442,9414
3378,0,74,0,0,0,0,46,0,24,149
3379,0,379,0,0,0,0,234,3,176,801
3380,35,3209,41,16,0,13,2103,17,591,6033
3381,18,509,0,4,3,8,504,4,153,1211
3384,4,295,0,0,0,0,169,0,80,547
3385,5,303,0,0,0,5,169,0,41,517
3387,4,157,0,0,0,0,110,0,45,315
3388,4,357,6,0,0,8,160,0,35,562
3390,5,586,0,0,0,0,250,0,64,914
3391,0,128,0,0,0,0,35,0,6,172
3392,0,370,0,0,0,11,121,0,73,581
3393,6,1636,12,4,0,8,728,16,282,2684
3395,0,229,0,0,0,0,97,0,33,361
3396,0,466,0,0,0,0,178,0,89,738
3400,64,8666,76,77,7,46,4398,79,1132,14541
3401,11,2863,0,0,0,13,1177,9,353,4418
3407,0,250,0,0,0,5,141,0,27,422
3409,6,520,0,0,0,3,333,0,72,937
3412,0,190,0,0,0,0,86,0,22,299
3413,0,158,0,0,0,0,40,0,16,220
3414,4,1064,3,6,0,8,516,7,217,1824
3415,0,34,0,0,0,0,3,0,0,40
3418,38,1955,12,10,0,4,575,10,181,2771
3419,0,535,7,3,0,5,220,0,40,806
3420,0,169,0,0,0,0,84,7,23,277
3423,0,314,4,0,0,0,120,0,48,480
3424,0,529,3,0,0,0,168,9,53,769
3427,24,1546,34,33,0,13,850,10,255,2761
3428,16,416,0,4,0,0,134,0,110,680
3429,319,20511,146,210,17,197,11904,223,2762,36296
3430,5,170,0,0,0,3,95,9,40,322
3431,20,2024,0,3,0,7,1566,21,298,3945
3432,0,114,0,0,0,0,42,0,38,196
3433,3,128,0,0,0,0,70,0,13,216
3434,34,2834,0,7,0,4,1759,24,408,5070
3435,12,1626,0,3,5,5,877,14,327,2878
3437,70,5647,15,34,8,25,3735,34,873,10445
3438,11,1387,0,6,4,0,811,13,163,2386
3440,8,920,0,0,0,3,904,4,190,2040
3441,17,645,0,0,0,0,559,14,105,1337
3442,42,3307,12,4,12,35,3169,39,846,7463
3444,65,4677,30,13,7,41,3400,41,930,9197
3446,16,405,0,8,3,3,467,7,117,1028
3447,0,152,0,0,0,3,235,0,60,448
3448,8,385,0,0,0,8,398,0,70,878
3450,96,2433,20,3,17,66,3302,50,857,6838
3451,53,1876,14,0,6,33,2408,40,1225,5654
3453,24,687,5,0,0,11,819,5,178,1725
3458,40,785,7,0,4,6,814,3,300,1947
3460,55,1004,21,5,5,40,1167,14,254,2566
3461,77,1544,10,12,5,35,1965,33,464,4150
3462,21,411,0,0,3,4,592,9,128,1173
3463,33,1105,0,6,4,6,1034,10,257,2454
3464,9,651,0,0,0,8,375,6,69,1118
3465,42,5396,27,12,4,58,3351,36,851,9770
3467,12,615,0,0,0,0,425,11,137,1196
3468,0,164,0,0,0,0,95,0,26,284
3469,0,147,0,0,0,0,93,0,31,278
3472,10,771,5,5,0,4,508,6,165,1482
3475,5,196,0,0,0,0,96,0,46,348
3477,0,493,0,0,0,3,247,3,75,824
3478,14,1569,0,0,0,19,660,3,187,2457
3480,6,1191,4,0,0,0,425,9,219,1862
3482,0,118,0,0,0,0,22,0,22,169
3483,4,605,12,0,0,0,180,0,90,888
3485,6,208,0,0,0,7,59,3,23,302
3487,0,36,0,3,0,0,40,0,16,96
3488,0,79,0,0,0,0,20,0,10,110
3489,0,40,0,0,0,0,18,0,4,53
3490,6,760,9,0,0,0,374,8,137,1290
3491,0,69,0,0,0,0,47,0,11,133
3494,10,259,0,5,0,20,271,3,91,661
3496,59,3079,4,46,0,22,2308,17,686,6224
3498,38,3160,11,4,0,26,1606,12,458,5324
3500,394,16502,191,865,13,226,10974,133,3439,32738
3501,5,1093,0,6,0,5,691,0,143,1939
3505,35,2620,3,26,7,9,1650,14,476,4829
3506,0,13,0,0,0,0,18,0,4,37
3507,0,84,0,0,0,0,49,0,22,157
3509,0,153,0,0,0,0,62,0,18,231
3512,0,195,0,0,0,0,144,0,35,371
3515,8,918,0,0,0,3,782,13,209,1940
3516,8,402,4,0,0,0,198,0,71,694
3517,14,761,0,0,0,16,403,6,224,1416
3518,6,686,0,0,0,10,384,0,218,1307
3520,0,84,0,4,0,0,61,0,27,179
3521,4,391,0,0,0,5,201,5,56,660
3522,0,190,0,0,0,0,95,0,50,334
3523,29,1963,5,4,0,12,1158,15,438,3619
3525,10,845,0,0,0,4,302,10,125,1302
3527,6,474,0,0,0,4,201,0,105,785
3529,0,80,0,0,0,0,26,0,11,120
3530,0,81,0,0,0,0,36,0,9,125
3531,0,113,0,0,0,0,65,0,12,191
3533,4,450,0,0,0,0,231,7,90,779
3537,6,604,10,0,0,0,300,3,111,1042
3540,0,193,0,0,0,0,62,0,32,286
3542,0,106,0,0,0,0,44,0,7,155
3544,0,147,0,0,0,7,62,0,36,249
3546,0,238,0,0,0,0,113,0,48,403
3549,293,1894,34,36,0,17,701,6,536,3527
3550,501,20429,300,232,22,232,14687,256,3678,40341
3551,183,16142,98,83,4,93,10565,105,2296,29564
3555,201,9983,78,122,10,107,7117,100,1972,19688
3556,140,6218,16,28,4,66,5155,60,1404,13087
3557,6,457,0,0,0,0,230,0,81,785
3558,6,597,0,0,0,4,220,0,82,916
3559,7,369,0,0,0,0,124,0,43,545
3561,22,2782,7,0,0,8,1230,12,379,4434
3562,0,145,0,0,0,0,85,0,47,278
3563,0,522,0,0,0,0,224,7,55,808
3564,70,9353,35,12,0,25,4898,53,1490,15944
3565,0,67,0,0,0,0,29,0,12,107
3566,0,315,0,0,0,0,180,0,61,556
3567,0,408,0,0,0,3,174,10,51,654
3568,13,1846,3,0,0,4,850,12,219,2948
3570,0,428,0,0,0,0,251,8,55,752
3571,0,168,0,0,0,0,88,0,57,319
3572,0,115,0,0,0,0,25,0,10,151
3573,0,178,0,0,0,0,91,0,60,331
3575,8,510,0,0,0,4,207,5,72,807
3576,0,46,0,0,0,0,11,0,11,72
3579,11,3320,18,3,0,20,1451,16,528,5362
3580,4,559,0,0,0,0,342,8,77,990
3581,0,101,0,0,0,0,52,0,16,163
3583,0,104,0,0,0,11,64,0,19,208
3584,10,567,13,4,0,8,363,7,180,1139
3585,82,6243,51,279,3,151,3032,26,1350,11205
3586,4,416,0,0,0,3,265,0,138,825
3588,10,206,0,0,0,0,130,0,15,359
3589,8,207,0,0,0,0,86,0,49,347
3590,0,182,0,0,0,0,119,0,38,335
3591,0,86,0,0,0,0,59,0,14,164
3594,3,268,0,0,0,0,167,0,85,529
3595,3,355,3,5,0,0,166,0,127,665
3596,0,47,0,0,0,0,27,0,12,96
3597,5,232,0,0,0,0,123,0,50,413
3599,3,62,0,0,0,0,47,0,23,133
3607,0,73,0,0,0,0,32,0,23,136
3608,13,1455,8,3,0,0,725,8,216,2417
3610,10,797,0,7,0,0,481,7,412,1714
3612,19,983,0,5,0,7,506,8,186,1708
3614,3,448,0,0,0,3,318,7,91,882
3616,32,3170,7,73,0,33,1454,15,565,5353
3617,0,110,0,0,0,0,35,0,15,163
3618,6,364,8,7,0,3,209,7,66,675
3620,29,5070,28,43,6,31,2212,26,796,8241
3621,13,1359,0,0,0,3,800,0,188,2368
3622,0,267,0,0,0,0,135,0,55,456
3623,8,516,0,4,0,3,261,5,104,903
3624,0,327,0,5,0,0,186,7,32,558
3629,57,5088,30,93,0,106,2787,41,920,9130
3630,285,15338,368,2885,8,659,8137,145,3445,31266
3631,89,6679,79,436,9,165,3118,41,994,11610
3633,3,356,0,6,0,0,166,0,71,604
3634,11,995,0,3,0,0,593,0,193,1798
3635,3,303,0,0,0,0,185,0,44,536
3636,15,3280,23,10,0,7,1457,16,428,5241
3637,4,386,0,0,0,0,181,0,25,593
3638,0,1290,0,3,0,4,634,4,136,2075
3639,4,304,0,0,0,3,163,0,55,524
3640,12,590,0,0,0,0,317,3,71,1000
3641,0,720,0,0,0,5,394,4,116,1233
3646,0,316,0,0,0,6,196,0,59,586
3647,0,11,5,0,0,4,15,0,3,40
3649,0,275,0,0,0,0,101,5,56,431
3658,31,3168,9,35,0,47,2347,41,547,6221
3659,0,386,0,4,0,0,240,5,101,734
3660,68,4020,13,26,3,36,2436,34,939,7577
3662,4,551,0,4,0,10,411,8,93,1075
3663,0,97,0,0,0,0,56,0,25,180
3664,17,570,0,0,0,8,340,4,133,1072
3665,0,183,0,0,0,0,123,4,41,357
3666,34,2644,6,11,0,10,1524,11,453,4700
3669,22,700,0,0,4,13,464,6,123,1337
3670,0,320,0,0,0,3,184,0,62,571
3672,69,5862,46,24,4,29,3262,33,997,10330
3673,9,895,0,0,0,4,584,14,227,1729
3675,11,1021,0,0,0,0,591,4,177,1803
3677,119,10481,79,54,4,62,5365,61,1865,18101
3678,50,3738,7,3,3,12,1905,15,610,6357
3682,0,369,0,0,0,0,185,0,63,616
3683,9,984,0,0,0,5,587,9,163,1760
3685,17,1752,4,9,0,4,733,8,194,2718
3687,8,735,3,0,0,3,291,4,54,1098
3688,7,755,0,0,0,0,353,4,111,1237
3690,274,19091,356,124,6,209,10485,185,2782,33522
3694,0,33,0,0,0,0,39,0,20,92
3695,3,301,0,0,0,0,138,0,27,472
3697,5,283,0,0,0,0,224,3,55,575
3698,3,373,0,0,4,0,390,3,83,862
3699,20,403,0,0,0,8,516,16,152,1124
3700,0,818,5,5,0,0,354,6,130,1317
3701,4,621,3,0,0,0,329,3,110,1075
3704,0,10,0,0,0,0,8,0,0,20
3705,3,147,0,0,0,0,69,0,41,261
3708,0,31,0,0,0,0,21,0,12,58
3709,5,178,0,0,0,0,84,3,29,295
3711,11,220,0,0,0,0,199,4,64,493
3712,6,157,0,0,0,0,152,0,37,353
3713,4,470,4,0,0,0,376,0,168,1026
3714,16,1808,0,6,0,9,1309,21,339,3512
3715,6,143,0,0,0,0,118,0,40,308
3717,32,1391,0,0,3,9,960,10,249,2654
3718,0,44,0,0,0,0,25,0,3,72
3719,0,175,0,0,0,0,150,0,45,371
3720,0,284,0,0,0,0,191,0,96,569
3722,33,2741,6,5,5,22,1757,19,430,5020
3723,24,1337,5,12,9,13,1176,24,403,3003
3725,0,364,0,0,0,0,174,0,83,631
3726,6,229,0,0,5,0,104,0,58,404
3727,0,179,0,0,0,0,93,0,33,305
3728,5,412,0,0,0,0,157,0,59,635
3730,46,5539,41,24,3,26,2153,23,975,8831
3732,0,309,0,0,4,4,216,5,51,595
3733,0,105,0,0,0,5,82,0,28,219
3735,0,404,0,0,0,0,138,5,60,609
3737,23,2670,21,3,0,9,1141,9,429,4302
3738,0,123,0,0,0,0,59,0,29,222
3739,3,94,0,0,0,0,88,0,28,215
3740,0,471,0,0,0,3,463,11,126,1075
3741,20,1374,12,8,3,17,1184,25,460,3098
3744,0,146,0,0,0,0,252,9,40,453
3746,5,174,0,0,0,0,161,5,34,385
3747,42,2039,6,5,0,20,1870,16,640,4628
3749,18,991,3,0,0,13,718,5,139,1889
3750,292,3776,982,1119,0,1047,1051,46,745,9060
3751,0,172,0,7,0,0,66,0,31,272
3752,485,14828,1151,862,4,599,4716,93,1323,24057
3753,26,1231,35,108,0,44,668,9,200,2328
3754,697,19715,1128,838,20,584,11975,173,2619,37758
3755,0,152,0,0,0,0,80,0,17,251
3756,121,6378,103,181,0,164,3660,53,1260,11926
3757,39,4837,25,24,6,45,3116,33,836,8955
3758,8,1242,0,11,4,6,743,4,168,2182
3759,9,410,0,0,0,10,503,10,112,1062
3760,3,142,0,0,0,0,194,0,33,372
3761,10,409,0,0,0,3,664,4,130,1230
3762,0,79,0,0,0,0,23,0,24,131
3763,3,579,0,0,0,10,754,9,176,1536
3764,78,5269,31,29,0,63,2856,44,790,9161
3765,55,3226,12,18,14,28,2748,43,622,6764
3766,23,461,4,0,0,6,635,10,95,1240
3767,23,432,0,0,4,24,606,10,149,1253
3770,26,1490,5,4,0,5,1376,35,286,3222
3775,24,1704,4,3,0,9,1715,29,385,3865
3777,117,4547,4,16,6,68,4910,65,1020,10753
3778,0,83,0,0,0,0,92,0,28,199
3779,6,194,0,0,0,3,151,0,38,394
3781,42,1705,0,6,3,13,2172,50,480,4471
3782,81,3186,8,18,16,47,3732,42,700,7824
3783,25,1030,0,0,3,14,1051,12,210,2350
3785,0,9,0,0,0,0,39,0,23,77
3786,15,520,4,0,14,5,768,8,184,1520
3787,21,339,0,4,8,3,563,4,111,1059
3788,33,636,0,0,7,6,902,16,142,1742
3789,3,100,0,0,0,0,141,0,23,265
3791,19,527,4,4,4,17,722,9,132,1440
3792,11,400,4,3,0,8,539,8,99,1064
3793,43,1514,3,7,3,21,1663,16,306,3575
3795,9,641,0,0,0,12,445,3,140,1249
3796,88,4480,14,0,0,42,4265,87,725,9698
3797,35,1453,3,0,0,25,1571,36,358,3474
3799,95,2123,19,11,8,54,2792,60,635,5800
3800,183,481,118,87,5,22,1069,17,227,2211
3802,1327,12938,860,2373,22,332,4513,79,1851,24292
3803,597,4815,418,2166,5,261,1706,42,843,10856
3804,130,4747,84,495,6,128,1851,22,635,8096
3805,2367,28335,1840,5035,38,1217,14005,246,3859,56937
3806,1694,25839,1401,1236,33,488,14437,193,3193,48521
3807,62,4011,39,34,9,27,2450,28,429,7096
3808,18,1495,0,11,11,5,1191,8,287,3031
3809,214,3600,257,145,3,132,2403,58,403,7212
3810,876,23651,818,711,36,816,16901,274,3819,47892
3812,15,1322,0,0,0,10,764,6,195,2310
3813,0,489,0,0,0,0,279,0,112,886
3814,21,1258,0,0,0,3,773,6,201,2257
3815,10,1723,0,4,0,4,1018,14,250,3020
3816,12,1484,8,3,0,9,970,16,223,2717
3818,66,7616,24,16,5,53,4989,62,1354,14170
3820,146,8724,66,48,0,83,5438,93,1351,15952
3821,12,1507,0,0,0,4,1141,6,250,2918
3822,4,495,0,0,0,8,394,0,90,983
3823,11,971,5,0,0,0,655,11,182,1839
3824,21,2605,8,12,0,26,1779,21,526,5003
3825,157,10672,16,49,3,91,7209,140,1945,20282
3831,12,846,0,0,5,3,619,4,220,1701
3832,0,109,0,0,0,0,72,7,47,249
3833,0,128,0,0,0,0,132,3,41,304
3835,4,285,0,0,0,0,149,0,30,472
3840,123,8525,38,110,4,69,5719,102,1794,16478
3842,38,2098,11,52,0,24,1908,38,610,4784
3844,243,15127,190,110,11,84,10165,129,2920,28981
3847,13,1155,0,0,4,11,776,15,215,2191
3850,152,7882,109,73,7,82,4970,81,1432,14782
3851,25,2687,0,7,0,6,1511,39,1409,5689
3852,0,28,0,0,0,0,49,0,6,92
3854,7,814,0,0,0,6,493,3,75,1400
3856,3,501,0,0,0,3,409,7,67,992
3857,0,212,0,0,0,0,117,3,26,368
3858,16,1585,8,0,0,19,1096,9,296,3026
3859,0,476,0,0,0,0,286,6,67,834
3860,43,3928,12,6,0,26,2461,23,671,7171
3862,13,1731,3,0,0,10,1083,17,294,3157
3864,0,129,0,0,0,4,69,0,20,218
3865,7,221,0,0,0,0,179,0,38,445
3869,8,804,0,6,0,4,663,3,139,1624
3870,15,544,0,0,0,0,596,9,95,1265
3871,22,1271,0,4,0,13,1241,16,334,2904
3873,0,179,0,0,0,0,106,3,30,323
3874,0,305,0,0,0,0,202,0,43,558
3875,116,9563,72,21,3,71,6511,62,2196,18625
3878,5,564,0,3,0,4,416,3,99,1098
3880,31,2011,5,0,0,22,1528,25,406,4037
3882,3,579,0,0,0,6,421,0,77,1094
3885,11,836,0,0,0,7,822,9,191,1868
3886,0,197,0,0,0,0,158,3,31,395
3887,0,155,0,0,0,0,150,6,34,342
3888,19,1580,3,3,0,17,1410,9,379,3421
3889,0,89,0,0,0,0,59,3,31,179
3890,5,123,4,0,0,0,131,0,55,324
3891,0,40,0,0,0,0,50,3,4,104
3892,8,407,0,0,0,5,537,4,98,1060
3893,0,18,0,0,0,0,0,0,0,22
3895,0,70,0,0,4,0,97,0,23,194
3896,7,205,0,5,0,0,127,3,62,405
3898,8,315,0,0,0,8,283,3,172,790
3900,0,83,0,0,0,3,38,0,24,151
3902,8,222,0,0,0,0,141,0,40,412
3903,5,343,0,0,0,0,296,7,95,746
3904,4,693,4,0,4,6,590,15,134,1452
3909,43,4119,7,3,5,20,2719,31,949,7901
3910,188,11033,58,49,12,84,9329,112,1714,22587
3911,34,1598,6,4,0,8,1446,20,292,3413
3912,113,7582,8,20,11,30,6086,85,1221,15154
3913,20,1663,14,3,0,7,1369,16,243,3337
3915,99,4811,22,12,13,44,3940,81,946,9960
3916,4,424,0,0,0,3,397,5,121,952
3918,39,1726,3,0,3,16,1574,16,329,3704
3919,33,1453,0,5,0,34,1379,17,259,3182
3920,8,451,4,4,0,0,521,13,39,1037
3921,3,30,0,0,0,0,66,0,13,114
3922,103,3603,30,12,9,40,3131,43,768,7740
