Postcode,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation,Inadequately described,Not stated,Total
2672,6,1121,0,0,0,0,252,4,199,1576
2675,13,1068,28,0,4,13,269,3,168,1564
2678,3,177,0,0,0,0,133,0,18,334
2680,115,16051,487,506,5,781,3402,72,2518,23942
2681,4,1226,3,0,0,18,256,3,229,1732
2700,15,3283,5,10,0,13,1007,6,582,4925
2701,8,1690,4,8,3,0,392,5,284,2388
2702,4,574,0,0,0,3,116,0,77,781
2703,0,664,0,0,0,4,195,6,104,981
2705,35,7273,29,71,0,116,1541,5,1084,10156
2706,0,759,6,0,0,4,267,0,122,1155
2707,6,927,8,5,0,0,253,0,143,1344
2710,31,6107,21,12,3,24,2791,15,1118,10124
2711,6,2298,14,4,0,21,582,9,420,3361
2712,3,896,0,0,0,9,271,0,180,1358
2713,3,1859,16,5,0,6,581,13,308,2797
2714,4,1766,3,0,0,10,720,5,259,2767
2715,5,999,7,5,0,4,307,5,150,1478
2716,0,763,10,6,0,0,172,6,147,1102
2717,0,596,0,11,0,53,443,3,231,1333
2720,21,5671,17,18,0,26,1308,13,933,8010
2721,0,162,0,0,0,0,36,0,37,239
2722,3,2515,6,0,0,10,405,4,267,3207
2725,0,250,0,0,0,0,88,0,34,373
2726,0,174,0,0,0,0,21,0,18,219
2727,0,279,0,0,0,0,41,0,25,352
2729,4,1272,0,0,0,3,262,4,149,1696
2730,19,813,5,8,0,14,381,6,150,1385
2731,38,3976,17,4,0,52,1742,9,565,6407
2732,8,1094,0,0,0,6,472,6,189,1776
2733,4,326,0,3,0,0,148,0,58,541
2734,0,252,0,0,0,0,148,0,56,456
2735,0,227,0,0,0,0,156,3,57,446
2736,4,216,0,0,0,0,99,0,55,375
2737,14,493,6,0,0,0,196,3,134,839
2738,8,894,0,0,0,3,608,7,151,1661
2739,0,721,3,9,0,0,493,6,168,1397
2745,231,20415,437,394,7,450,5739,66,1763,29503
2747,503,25625,1286,850,12,708,10157,172,3119,42421
2748,11,1439,19,41,0,25,204,4,138,1879
2749,150,11003,95,192,6,70,4159,57,1201,16933
2750,535,28512,451,534,36,330,10689,154,3563,44806
2752,28,3559,0,18,0,3,946,26,343,4924
2753,131,11245,51,68,9,67,3968,81,1504,17134
2754,40,3719,6,27,11,21,1478,18,377,5695
2755,0,97,0,0,0,0,59,3,98,260
2756,172,22850,33,105,31,105,8017,98,2520,33934
