Postcode,Nil payments,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable
3163,106,21,20,96,50,72,54,147,303,524,420,510,309,476,355,477,219,833,266,137,62,33,58,157,9104
3165,74,6,6,30,14,25,21,22,13,40,42,106,87,183,148,239,108,486,255,119,61,10,15,66,8724
3166,79,15,13,118,51,49,31,41,38,72,95,217,217,328,256,316,154,469,175,56,15,10,29,100,6701
3167,27,5,4,25,12,17,7,14,10,11,23,50,60,92,64,70,31,116,43,15,0,0,8,20,2908
3168,80,19,11,50,69,139,125,112,177,146,183,405,330,562,328,372,148,449,210,100,46,21,65,151,3807
3169,60,9,7,87,23,60,32,47,52,82,148,294,237,312,209,167,68,213,36,10,5,0,25,93,5290
3170,30,8,6,27,13,23,15,32,24,24,38,100,101,187,132,122,67,281,81,14,8,0,8,46,5804
3171,84,11,19,56,44,81,96,118,124,144,187,381,259,278,136,111,36,113,22,5,7,0,20,134,5006
3172,52,9,11,29,23,30,28,40,55,62,113,187,141,174,73,93,30,103,17,3,3,0,10,69,6751
3173,53,6,10,28,11,20,9,17,24,28,49,140,142,184,107,105,45,186,74,16,8,0,12,51,7127
3174,115,52,43,240,64,141,125,319,270,397,498,849,637,567,180,131,30,70,15,13,10,8,51,184,9816
3175,115,57,50,281,127,237,167,372,579,948,856,1101,743,638,300,181,51,123,33,19,19,0,47,260,12600
3177,24,34,23,127,52,63,19,52,64,176,204,329,126,93,25,9,0,11,5,3,0,0,10,55,2840
3178,48,10,8,22,15,18,14,34,11,20,10,65,86,206,171,215,114,318,49,16,8,3,8,52,10176
3179,15,3,4,7,0,5,3,5,4,7,3,24,38,82,62,47,16,34,7,0,0,0,0,17,1759
3180,13,3,0,10,4,7,0,4,11,15,8,55,48,87,67,66,40,69,13,0,0,0,5,16,2375
3181,96,34,35,258,71,72,56,83,77,177,186,348,289,417,388,451,205,914,519,253,149,73,119,139,6158
3182,74,28,32,194,35,87,177,185,210,371,329,600,449,690,519,640,280,960,429,180,114,62,107,165,7886
3183,82,23,19,74,34,72,70,86,111,260,236,360,301,437,300,387,148,505,284,141,75,35,40,96,5375
3184,36,9,5,55,16,36,31,62,73,190,239,357,262,376,297,361,188,667,283,126,82,40,87,82,4877
3185,54,16,11,17,13,19,23,49,56,146,109,173,117,175,169,154,71,311,137,78,41,13,42,49,3958
3186,78,23,12,56,18,22,3,24,28,14,31,52,42,63,86,108,62,364,268,133,141,86,348,65,8234
3187,41,10,4,23,10,26,21,20,20,17,8,19,13,46,40,62,30,197,121,116,65,56,123,40,5429
3188,50,33,24,223,56,39,23,36,22,43,36,76,59,104,83,98,48,296,140,81,66,61,114,72,5809
3189,20,8,3,28,6,23,13,23,23,12,16,46,22,44,28,57,33,125,38,18,0,3,5,31,1953
3190,29,9,8,54,20,22,18,21,16,22,39,80,63,170,95,106,46,172,68,43,17,11,5,44,3490
3191,22,3,6,14,8,4,4,11,24,26,44,69,48,74,40,73,38,154,74,47,45,29,74,28,3434
3192,66,10,13,50,37,33,28,35,50,103,110,221,144,227,160,176,83,332,127,51,13,4,19,72,7513
3193,45,4,0,8,14,15,7,20,14,18,14,37,27,48,46,62,37,176,120,81,106,52,109,22,6958
3194,37,11,11,24,8,30,19,68,97,152,107,167,135,154,133,154,53,208,123,39,25,9,22,43,4268
3195,64,19,23,85,34,60,32,63,57,143,111,289,151,270,180,185,102,407,153,78,41,23,35,88,11664
3196,59,18,13,89,33,70,55,102,108,198,196,299,212,328,190,205,94,278,95,13,11,0,24,76,8747
3197,25,5,8,38,8,15,11,19,22,37,36,111,79,112,92,104,32,104,46,25,5,0,11,39,4263
3198,39,15,21,113,39,46,46,135,121,235,182,326,207,233,126,110,37,74,14,4,5,0,11,77,5777
3199,110,47,43,245,130,200,214,428,387,671,644,1084,687,626,320,273,108,244,86,44,17,10,29,241,17632
3200,21,14,8,83,23,40,30,40,54,220,204,126,23,8,8,6,0,8,3,0,0,0,3,43,1595
3201,29,9,16,28,35,28,47,44,67,119,137,442,327,346,162,102,23,33,3,8,0,0,20,65,6134
3202,4,0,0,3,0,3,3,6,12,7,4,18,17,14,16,12,4,44,47,8,0,0,3,6,786
3204,84,14,15,28,23,50,54,65,113,162,115,218,189,277,207,264,170,558,265,188,117,71,65,80,8928
3205,64,27,43,212,74,87,76,99,33,49,29,50,48,118,112,197,55,597,334,204,82,50,80,90,3446
3206,35,7,11,95,13,20,4,20,20,28,48,69,40,45,38,56,27,237,182,156,101,70,174,53,3603
3207,75,36,28,224,52,74,31,69,20,36,17,49,23,60,120,208,137,680,527,278,208,107,176,108,5476
3211,0,0,3,0,0,0,0,0,0,0,3,4,0,8,0,4,0,3,0,0,0,0,0,3,460
