POSTCODES,Major Cities of Australia ,Inner Regional Australia ,Outer Regional Australia ,Remote Australia ,Very Remote Australia ,Migratory - Offshore - Shipping ,Total
2588,0,147,0,0,0,0,147
2590,0,3273,157,0,0,0,3433
2594,0,4702,536,0,0,0,5241
2619,3293,0,0,0,0,0,3293
2621,0,2272,0,0,0,0,2272
2622,0,1542,739,0,0,0,2275
2623,0,303,0,0,0,0,303
2625,0,0,711,0,0,0,711
2626,0,197,0,0,0,0,197
2627,0,0,3279,0,0,0,3279
2628,0,0,1094,0,0,0,1094
2629,0,0,559,0,0,0,559
2630,0,3975,347,0,0,0,4330
2631,0,0,380,0,0,0,380
2632,0,0,960,0,0,0,960
2633,0,0,245,0,0,0,245
2640,0,16360,61,0,0,0,16417
2641,0,7199,0,0,0,0,7199
2642,0,1294,738,0,0,0,2035
2643,0,1276,0,0,0,0,1276
2644,0,989,245,0,0,0,1230
2645,0,0,234,0,0,0,234
2646,0,2948,438,0,0,0,3385
2647,0,1334,9,0,0,0,1344
2648,0,0,905,386,0,0,1286
2649,0,0,15,0,0,0,15
2650,0,24175,261,0,0,0,24441
2651,0,806,0,0,0,0,806
2652,0,984,975,73,0,0,2031
2653,0,0,1154,0,0,0,1154
2655,0,510,42,0,0,0,555
2656,0,17,630,0,0,0,649
2658,0,570,98,0,0,0,666
2659,0,345,18,0,0,0,359
2660,0,703,0,0,0,0,703
2661,0,58,0,0,0,0,58
2663,0,1777,63,0,0,0,1837
2665,0,0,1060,0,0,0,1060
2666,0,37,2587,0,0,0,2617
2668,0,0,220,0,0,0,220
2669,0,0,643,248,0,0,891
2671,0,0,1985,0,0,0,1985
2672,0,0,0,694,0,0,694
2675,0,0,0,760,0,0,760
2678,0,4,0,0,0,0,4
2680,0,0,9604,0,0,0,9604
2681,0,0,711,0,0,0,711
2700,0,0,2380,0,0,0,2380
2701,0,888,79,0,0,0,964
2702,0,0,332,0,0,0,332
2703,0,0,305,0,0,0,305
2705,0,0,4446,0,0,0,4446
2706,0,0,538,0,0,0,538
2707,0,0,671,0,0,0,671
2710,0,3610,1406,0,0,0,5013
2711,0,0,1379,431,0,0,1811
2712,0,0,701,0,0,0,701
2713,0,999,432,0,0,0,1436
2714,0,1447,43,0,0,0,1488
2715,0,0,647,180,0,0,826
2716,0,0,582,0,0,0,582
2717,0,0,605,0,0,0,605
2720,0,3406,413,0,0,0,3821
2721,0,0,138,0,0,0,138
2722,0,1390,107,0,0,0,1502
2725,0,0,201,0,0,0,201
2726,0,0,126,0,0,0,126
2727,0,0,171,0,0,0,171
2729,0,665,127,0,0,0,787
2730,0,0,713,0,0,0,713
2731,0,2756,288,0,0,0,3044
2732,0,0,1009,0,0,0,1009
2733,0,0,354,0,0,0,354
2734,0,0,209,4,0,0,214
2735,0,0,184,0,0,0,184
2736,0,0,197,0,0,0,197
2737,0,0,381,11,0,0,385
2738,0,0,648,40,0,0,687
2739,0,0,699,0,0,0,699
2745,9193,465,0,0,0,0,9665
2747,15789,0,0,0,0,0,15789
2748,588,0,0,0,0,0,588
2749,5748,0,0,0,0,0,5748
2750,18343,0,0,0,0,0,18343
2752,0,1659,0,0,0,0,1659
2753,5265,1184,0,0,0,0,6450
2754,1932,244,0,0,0,0,2177
2755,4,0,0,0,0,0,4
2756,9280,2998,117,0,0,0,12401
2757,0,301,0,0,0,0,301
2758,0,3149,0,0,0,0,3149
2759,8555,0,0,0,0,0,8555
2760,12782,0,0,0,0,0,12782
2761,9138,0,0,0,0,0,9138
2762,1744,0,0,0,0,0,1744
2763,9912,0,0,0,0,0,9912
2765,5092,405,0,0,0,0,5495
2766,4744,0,0,0,0,0,4744
2767,7245,0,0,0,0,0,7245
2768,8273,0,0,0,0,0,8273
2769,3498,0,0,0,0,0,3498
2770,20744,0,0,0,0,0,20744
2773,2222,0,0,0,0,0,2222
2774,4838,0,0,0,0,0,4838
2775,0,890,0,0,0,0,890
2776,1554,0,0,0,0,0,1554
2777,6789,0,0,0,0,0,6789
2778,1003,0,0,0,0,0,1003
2779,2040,0,0,0,0,0,2040
2780,7123,345,0,0,0,0,7472
2782,2981,0,0,0,0,0,2981
2783,1178,0,0,0,0,0,1178
2784,554,0,0,0,0,0,554
2785,0,2920,0,0,0,0,2920
