Postcode,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)",Not_stated_income,Not_applicable_income,Nil payments,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated_rent,Not applicable_rent
2840,15,118,45,145,140,130,116,154,174,162,100,88,70,64,28,504,628,52,71,14,29,15,39,37,35,10,17,5,13,0,0,0,0,0,5,0,3,0,0,6,28,1046
2842,7,22,21,56,67,90,33,35,34,37,14,14,6,16,4,58,126,11,0,0,0,7,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,284
2843,13,68,40,95,126,104,91,94,97,55,30,24,22,26,22,142,251,28,0,4,13,10,19,14,24,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,486
2844,11,67,41,100,107,115,97,96,85,59,30,30,21,21,20,261,273,21,7,0,9,5,18,27,15,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,7,624
2845,8,101,58,134,154,173,124,118,124,100,72,34,48,60,27,201,436,6,6,3,13,10,14,15,18,6,16,9,13,4,24,0,0,0,0,0,0,0,0,0,9,622
2846,0,16,13,19,38,37,15,13,17,11,6,6,0,0,0,40,51,3,6,0,0,0,5,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170
2847,8,153,77,167,257,242,160,148,137,129,67,55,46,62,34,281,416,9,6,0,9,4,3,18,16,14,18,3,10,0,4,0,0,0,0,0,0,0,0,0,7,941
2848,13,86,59,166,220,224,87,93,62,62,27,17,10,28,15,227,256,5,5,3,19,12,36,31,40,8,22,5,11,0,0,0,0,0,0,0,0,0,0,0,8,705
2849,16,110,34,120,164,166,107,94,71,69,53,30,18,48,21,154,251,36,10,0,6,7,17,11,17,5,15,15,9,0,0,0,0,0,0,0,0,0,0,0,6,777
2850,69,927,579,1083,1482,1339,1110,1086,1014,943,573,474,431,786,395,1691,3667,124,25,13,42,29,121,62,152,76,161,121,254,108,184,76,121,25,76,15,5,6,0,5,76,6436
2852,23,228,99,209,276,314,232,194,189,142,87,88,73,140,43,441,765,37,8,6,8,3,15,15,31,18,36,38,35,14,10,4,10,5,0,0,0,0,0,0,9,1319
2864,14,46,27,48,61,56,42,51,56,60,42,32,11,24,7,64,170,6,0,0,3,0,4,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,294
2865,3,54,24,56,59,59,58,53,45,53,38,41,13,28,8,103,164,7,10,4,12,0,10,0,8,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,5,347
2866,10,188,87,150,256,255,210,203,205,186,107,88,65,84,42,242,713,27,11,8,5,3,18,14,28,18,39,20,23,3,6,0,0,0,0,5,0,0,0,4,19,1046
2867,8,28,16,34,60,41,38,41,39,33,21,13,12,12,7,49,140,16,4,0,3,0,6,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,253
2868,6,39,15,40,76,56,42,46,40,27,27,12,12,7,11,77,130,20,7,0,8,5,6,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,240
2869,8,64,65,122,159,159,98,80,68,67,53,30,21,22,10,180,231,26,4,11,24,16,16,11,20,4,6,3,0,0,0,0,0,0,0,0,0,0,0,0,6,613
2870,59,657,409,737,986,915,796,775,754,680,484,364,288,350,134,1139,2502,51,21,21,115,78,172,90,181,99,152,82,126,39,30,11,7,0,3,0,0,0,0,3,63,4036
2871,41,499,274,509,824,808,665,690,616,576,321,260,147,199,86,927,1899,77,32,36,93,71,125,98,152,72,74,22,29,9,9,3,0,0,4,0,0,0,0,3,48,3307
2873,14,18,17,35,53,50,30,15,27,32,12,19,10,11,18,104,100,7,13,0,12,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231
2874,9,23,10,40,40,40,23,28,34,27,10,9,7,7,0,48,67,8,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,211
2875,9,49,23,68,75,80,77,58,64,56,23,27,25,20,10,109,191,12,10,3,18,7,7,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,440
2876,6,31,15,29,29,26,31,27,21,16,8,9,9,8,0,59,94,10,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172
2877,31,171,78,259,350,307,276,244,258,226,115,109,60,76,56,392,876,58,28,16,32,26,86,44,58,23,39,6,15,3,0,0,4,0,0,0,0,0,0,0,28,1386
2878,0,22,4,16,10,21,10,18,23,20,8,14,8,5,13,117,58,9,12,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,164
2879,0,35,19,67,57,71,37,28,25,18,17,11,7,14,8,119,111,9,19,11,9,8,11,3,8,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,5,366
2880,73,897,513,1319,1837,1727,1248,1116,962,1018,690,552,497,624,197,1942,3058,121,82,73,105,112,241,206,265,106,149,61,96,18,38,4,18,4,5,4,0,3,6,9,74,8148
2898,0,14,8,8,31,28,25,37,35,38,14,18,6,17,5,38,51,14,0,5,0,6,4,0,5,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,3,173
3000,379,9718,1259,1878,2162,2051,2168,1913,2100,2231,1618,1321,890,1475,925,4687,1214,36,10,15,33,9,19,4,9,8,23,13,22,13,31,48,82,27,190,168,70,35,19,48,30,2786
3002,23,231,96,154,125,168,198,209,296,383,382,372,272,529,615,607,299,3,3,4,0,3,3,0,0,6,4,6,7,9,33,48,96,59,224,174,43,19,17,28,33,827
3003,36,586,150,242,252,247,258,273,336,456,331,310,202,351,223,865,395,104,81,219,310,133,149,91,118,113,180,152,279,237,413,276,403,206,883,286,137,48,21,36,144,8840
3004,32,777,170,248,263,315,333,405,608,798,698,650,485,935,787,1234,563,30,39,63,69,25,22,14,20,11,36,16,79,72,111,88,108,57,217,124,68,42,23,60,42,3131
3005,5,33,0,25,14,18,21,23,22,25,25,29,20,42,36,135,49,35,38,52,67,39,60,35,32,34,40,18,46,47,109,161,281,117,528,251,92,47,31,33,64,3272
3006,103,2404,386,585,644,690,799,914,1342,1625,1285,1099,856,1584,1145,2454,904,27,6,45,46,25,24,10,31,31,60,38,45,39,45,25,54,46,302,100,52,35,6,4,38,3572
3008,86,1574,217,322,347,313,408,450,622,791,736,640,456,867,636,1232,743,16,30,50,49,27,39,29,58,34,49,82,186,166,243,132,138,85,235,60,22,13,6,18,58,2892
3010,8,444,422,318,107,44,48,19,14,13,6,11,5,26,16,80,13,37,16,75,48,32,34,31,39,29,53,62,99,41,87,60,105,69,278,88,42,12,9,9,49,4405
3011,94,1685,655,1478,1518,1364,1278,1195,1498,1608,1218,960,661,1094,409,2074,2684,6,6,0,9,10,8,7,27,14,16,5,4,0,10,16,16,0,11,0,0,0,0,0,10,321
3012,110,2109,728,1621,1739,1651,1425,1549,1910,1919,1416,1186,816,1169,481,2013,4453,50,100,131,164,56,45,59,100,129,123,57,139,118,361,284,331,185,793,291,126,66,29,39,91,4063
3013,40,861,422,682,793,833,718,690,941,988,841,879,670,1186,711,883,2829,59,47,75,102,56,55,43,59,44,73,81,152,99,165,162,244,102,316,77,37,7,3,3,60,6146
3015,51,1044,511,746,895,860,750,768,971,1199,1008,985,760,1436,841,987,3652,105,51,142,239,132,161,111,129,77,119,64,171,127,313,330,448,223,520,97,22,10,6,12,157,13789
3016,65,1150,673,703,723,794,676,663,798,958,780,726,601,1139,1135,1022,2940,91,44,81,154,76,103,82,79,45,78,94,422,430,525,407,512,255,771,251,59,31,15,19,131,8582
3018,57,821,441,720,812,840,763,695,818,967,669,605,441,719,323,890,2101,6,4,10,14,4,3,3,8,3,0,0,15,29,49,33,93,55,103,11,0,0,0,0,6,601
3019,95,1042,391,962,790,654,529,627,547,543,233,197,122,106,49,626,1692,27,28,71,105,49,63,37,35,26,29,16,58,43,80,77,142,62,160,33,14,5,5,0,51,4835
3020,297,4455,1738,3998,4087,3462,2741,2993,3083,2736,1451,976,615,639,215,3553,7736,19,25,42,69,27,32,20,23,9,20,14,37,19,49,36,82,39,123,26,9,0,0,0,28,2951
3021,430,5945,2126,5097,5483,4099,3308,3731,3648,2913,1499,914,446,414,181,4468,9491,22,3,24,26,10,13,15,14,6,12,12,22,4,19,46,97,49,192,50,15,4,0,0,23,4282
3022,61,260,89,253,233,231,197,200,223,201,132,79,56,42,14,275,554,46,39,77,145,72,87,47,64,37,54,30,94,73,217,201,335,161,418,55,7,4,3,8,66,8606
3023,425,6342,2269,3720,3630,2991,3212,3826,4511,4386,2921,2166,1353,1649,532,4730,15307,18,21,39,69,34,63,28,38,21,37,9,63,44,172,143,163,64,152,57,11,9,0,0,38,5364
3024,112,2035,761,1237,1155,1123,1238,1505,1838,1819,1173,848,518,560,145,1325,6456,0,0,0,0,0,0,0,4,30,40,27,75,20,25,30,29,7,85,58,16,6,0,0,13,1201
3025,71,908,405,928,1149,957,610,640,700,697,475,477,285,422,127,1049,2250,4,6,9,6,4,27,11,15,24,30,47,196,67,79,76,56,38,273,107,24,5,3,9,21,1196
3026,0,4,3,5,5,9,3,9,6,5,9,0,0,0,0,17,0,52,31,50,79,50,48,40,64,49,83,60,264,190,451,344,457,193,585,226,68,25,3,17,78,9868
3027,39,720,170,208,207,209,233,334,470,527,380,354,217,392,137,287,1749,28,3,18,34,20,34,19,37,78,72,48,255,202,144,112,189,121,601,335,65,19,19,8,45,6175
3028,160,2567,1041,1972,2312,2068,1681,1810,2238,2212,1392,1064,641,818,220,1856,5148,78,8,10,9,5,8,5,28,40,45,36,71,44,91,37,74,32,317,320,162,93,73,93,162,1818
3029,535,9329,3141,4889,4706,4287,4796,5922,7235,7115,4432,3143,1954,2280,642,6003,23537,100,141,138,104,60,91,60,113,183,292,111,399,174,397,190,348,114,825,434,272,121,48,48,168,8327
3030,468,9270,3522,5185,4949,4792,4983,5551,6857,7188,4801,3998,2788,4065,1741,5683,24484,42,69,84,90,58,59,42,45,23,49,25,57,49,93,86,171,42,525,275,94,12,11,15,88,5120
3031,115,1033,585,1213,1143,999,847,837,1053,1249,1154,1023,735,1295,727,1615,2909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3032,143,2320,1015,1635,1648,1497,1454,1690,1918,2259,1717,1475,1040,1724,1158,2085,4674,159,101,79,45,34,32,37,81,87,120,46,168,89,219,124,274,92,737,490,341,192,83,148,265,5336
3033,58,1085,567,950,1181,1027,869,802,916,945,726,576,432,621,274,986,2494,512,1285,360,230,79,192,38,74,24,36,20,30,3,21,3,14,7,54,34,20,11,3,19,380,4463
3034,72,934,416,850,1215,881,709,653,672,741,552,445,307,342,191,872,1785,10,6,0,19,5,5,3,4,0,5,7,3,0,12,4,5,0,23,8,0,0,0,0,14,367
3036,22,467,273,361,370,344,369,327,388,413,296,279,208,264,206,344,1001,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,310
3037,278,4942,2097,3005,3023,2526,2677,3233,3677,3723,2385,1856,1216,1396,470,2781,11863,51,153,168,132,70,66,44,35,66,84,27,86,69,135,103,181,74,571,359,125,34,10,0,109,4487
3038,149,2640,1292,1852,2102,1677,1594,1732,1918,2057,1390,1022,648,939,357,1511,4366,94,40,28,35,10,5,14,33,122,134,18,66,54,103,79,190,91,597,426,215,82,14,11,125,3283
3039,47,985,477,717,795,800,721,691,876,1045,832,736,528,961,781,981,2273,9,0,0,0,0,5,3,7,3,8,6,8,0,4,3,0,0,18,14,14,9,0,7,5,690
3040,61,1899,1003,1188,1256,1424,1289,1373,1701,1896,1518,1350,1004,1637,1324,1729,4283,11,5,0,5,0,8,3,8,0,9,0,18,0,9,3,12,3,28,18,16,9,4,19,14,1152
3041,47,861,541,549,602,667,658,670,820,863,702,596,480,758,535,801,2283,35,4,8,10,0,6,0,17,3,13,0,17,3,28,11,25,4,98,60,30,13,4,0,10,2410
3042,59,1053,539,902,1245,1050,940,935,1027,1187,871,722,474,708,331,1042,2681,10,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,170
3043,88,1273,624,1218,1442,1291,1161,1137,1357,1399,883,649,376,431,133,1308,2946,5,4,0,0,0,0,0,5,3,0,0,0,0,0,0,4,0,10,5,6,0,0,0,3,291
3044,93,2034,926,1380,1678,1796,1449,1476,1782,1995,1538,1276,882,1393,556,1857,5022,0,0,0,0,0,0,0,4,0,0,14,39,7,10,11,10,0,35,17,0,5,0,0,0,185
3045,0,0,0,0,0,4,0,0,3,4,0,6,4,0,4,67,0,12,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313
3046,146,2879,1142,2235,2845,2511,2134,2117,2365,2252,1528,1207,752,947,321,2651,6041,12,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,6,0,0,0,0,0,3,264
3047,224,1798,821,2199,2129,1646,1234,1099,1123,840,417,216,123,98,66,2133,4730,13,14,4,10,4,4,6,6,0,7,0,8,9,6,3,0,0,0,0,0,0,0,0,7,205
3048,169,1778,900,2025,1870,1312,1010,1058,922,754,364,221,116,114,47,1295,4080,6,6,5,6,0,0,0,4,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,154
3049,41,724,374,619,639,612,565,627,720,708,489,373,248,261,105,571,1593,15,19,4,3,7,3,6,5,0,3,0,4,0,5,0,0,0,0,0,0,0,0,0,12,153
3050,0,6,3,9,5,6,4,0,5,4,0,0,4,3,0,50,24,102,55,42,65,56,67,34,108,48,72,24,62,27,63,49,85,16,115,46,14,6,0,8,98,2350
3051,98,2040,504,1039,873,811,812,684,778,948,762,626,462,762,467,1697,1566,211,362,77,122,47,41,40,13,13,6,0,9,0,4,0,8,3,5,5,0,3,3,11,176,2027
3052,24,640,230,374,289,304,348,266,305,399,312,275,155,276,267,807,420,0,0,0,0,0,0,0,0,72,78,7,3,0,0,0,0,0,0,0,0,0,0,0,5,16
3053,193,5168,832,1261,994,971,995,778,882,937,640,585,371,597,443,1800,1097,20,84,0,0,0,0,3,6,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,7,157
3054,31,437,226,441,374,458,495,492,598,689,599,518,369,625,564,569,928,90,34,19,60,18,21,30,35,29,33,4,31,3,14,14,19,5,26,4,0,0,0,3,102,857
3055,74,941,432,890,959,930,912,848,1044,1115,857,670,498,743,411,929,1906,45,38,20,17,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,367
3056,96,1386,661,1492,1720,1648,1514,1450,1724,2136,1600,1468,1021,1528,789,1635,2613,238,126,91,110,46,54,33,79,43,108,73,175,78,179,111,218,103,484,203,76,34,6,13,261,5719
3057,26,684,284,625,650,695,623,671,831,1092,843,779,520,784,379,813,1207,15,80,0,13,22,21,4,19,5,11,32,19,6,13,0,5,0,15,6,6,4,5,7,39,1008
3058,114,2342,1111,2246,2628,2297,2017,1891,2202,2346,1778,1602,1065,1577,735,2234,5589,49,0,0,3,4,0,0,0,18,10,3,0,0,0,0,5,0,10,9,3,0,0,0,33,159
3059,84,1557,696,905,891,765,815,934,1066,1133,818,637,453,603,327,722,3059,9,30,28,27,7,7,3,3,0,4,4,11,17,30,19,26,11,40,7,7,3,3,0,25,654
3060,61,1424,486,1032,1366,1247,813,789,798,723,426,331,219,243,70,995,3025,274,315,45,25,22,30,16,20,11,14,3,7,9,16,4,4,0,31,12,10,0,0,0,247,720
3061,53,447,222,561,732,417,287,262,273,191,103,66,33,22,7,369,1022,73,43,109,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,135
3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,138,32,12,8,8,8,9,3,3,3,4,0,0,0,4,0,0,0,0,0,0,0,33,289
3063,3,52,29,30,29,31,31,22,28,41,33,15,20,31,17,53,110,91,16,12,61,42,85,38,63,37,70,67,126,102,144,98,294,128,969,761,445,171,81,123,140,4513
3064,523,7494,2949,5260,4625,3752,3982,4778,5580,5053,3024,2048,1200,1296,371,3921,19604,55,35,43,124,48,59,58,75,81,131,109,188,117,286,270,349,190,1016,594,230,108,79,125,78,5474
3065,35,485,234,650,630,565,499,443,635,750,619,558,369,772,634,1388,1198,42,24,23,80,34,78,178,69,112,203,142,297,191,318,352,473,243,1110,363,129,56,34,40,77,4138
3066,41,395,180,507,450,427,375,418,504,709,589,525,369,589,369,1079,979,44,7,16,52,19,28,23,36,35,65,76,172,176,282,170,259,135,412,222,99,43,28,88,57,4342
3067,28,452,188,368,343,383,386,398,620,779,697,580,417,703,418,785,649,3,0,0,0,0,5,3,0,0,4,3,4,0,3,0,5,0,8,0,0,0,0,0,0,96
3068,35,824,467,828,915,995,876,935,1125,1478,1287,1145,823,1492,1297,1527,2628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3070,60,1300,779,1332,1484,1358,1240,1281,1532,1781,1504,1335,962,1682,1247,1680,4014,8,3,7,18,3,12,11,16,19,10,14,27,36,65,71,42,12,109,43,19,6,3,0,16,731
3071,51,985,522,1017,1364,1119,1094,1142,1326,1426,1058,957,637,1005,524,1373,2977,48,11,17,38,8,28,37,55,53,108,104,264,262,337,161,155,91,252,136,61,44,34,50,46,4675
3072,155,2410,1163,2240,2574,2292,1790,1955,2200,2307,1666,1391,965,1337,488,2660,5256,49,24,55,138,32,73,61,112,76,139,176,337,307,417,432,532,240,581,121,37,22,9,10,98,6159
3073,276,3880,1759,3634,4554,4018,3072,3159,3493,3478,2260,1739,1020,1217,378,4323,8217,14,10,16,51,15,34,15,12,26,35,39,81,63,77,56,82,32,90,34,12,3,3,3,33,1293
3074,131,1902,809,2113,2468,1705,1250,1404,1412,1108,581,351,191,196,83,1428,3366,29,9,6,17,12,18,33,28,15,33,23,51,55,127,107,111,57,236,103,18,0,5,0,29,3474
3075,172,2048,868,2043,2525,1666,1408,1542,1500,1270,713,473,258,286,103,1569,4149,64,27,31,127,53,127,103,147,149,152,77,216,188,501,402,341,230,405,80,25,13,0,9,103,11220
3076,175,3044,1219,2125,2216,1830,1877,2315,2515,2294,1395,956,576,585,157,1947,7180,22,9,18,37,20,23,44,24,37,49,59,125,147,227,266,260,121,160,17,6,3,0,0,33,3550
3078,31,741,408,581,649,667,630,575,757,858,620,637,444,782,686,757,1811,38,44,67,231,69,104,106,189,168,318,240,375,305,367,169,186,74,171,60,11,3,0,3,87,6269
3079,60,1212,702,716,764,785,806,742,858,1040,881,882,610,1116,1193,939,2683,67,22,62,164,84,117,91,174,124,283,235,411,284,366,230,158,72,238,91,43,17,8,11,97,7447
3081,78,916,493,967,1080,1111,788,784,846,874,572,453,269,382,135,1294,2384,11,6,14,49,16,49,22,28,29,110,86,151,199,235,90,68,21,47,4,0,0,0,0,46,2704
3082,140,2837,1241,1998,2227,2008,1827,1999,2341,2391,1446,1038,675,723,195,1559,5065,7,11,10,51,23,22,30,27,12,25,17,77,83,117,170,165,23,28,9,0,0,0,0,31,1762
3083,181,3920,1258,2241,2483,2230,2119,2011,2072,2075,1311,1066,615,851,375,2081,4636,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,340
3084,84,1835,992,1273,1369,1456,1504,1380,1510,1654,1301,1235,984,1560,1129,1452,4798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3085,41,1040,479,736,760,827,768,806,952,997,757,691,507,722,400,749,2642,41,20,12,80,43,83,84,101,108,190,155,354,227,324,239,294,164,511,157,70,52,28,27,76,4299
3086,5,209,152,256,74,46,35,4,7,3,0,0,5,0,0,96,21,24,19,26,69,36,45,27,66,39,113,105,265,196,263,165,223,106,302,85,36,16,4,5,61,3789
3087,40,609,342,501,610,638,562,527,667,686,461,448,300,400,122,466,1658,38,37,38,169,57,84,46,91,42,113,99,187,184,366,325,385,231,325,43,16,9,3,4,81,4376
3088,68,1783,1087,1343,1595,1647,1590,1601,1843,2068,1609,1325,971,1352,556,1372,5072,72,38,81,208,84,109,120,131,90,152,135,320,395,836,670,640,266,625,165,39,12,7,3,196,13055
3089,31,880,578,544,537,589,656,677,779,880,669,620,437,656,329,522,2344,37,3,0,7,8,18,12,20,34,60,21,39,24,85,177,114,57,236,124,49,20,6,10,35,7566
3090,5,196,143,109,92,87,98,120,172,153,116,129,68,154,126,112,477,8,0,0,5,6,5,3,15,6,11,26,57,39,116,101,63,47,48,11,4,0,0,0,8,1874
3091,8,129,66,67,84,77,120,81,93,104,73,87,55,76,68,118,266,11,0,0,0,0,0,0,9,23,31,4,9,7,15,17,28,18,84,33,9,0,0,0,8,2229
3093,16,268,169,178,190,270,270,196,245,287,256,200,141,221,182,177,618,61,38,66,216,57,91,65,100,115,174,143,301,272,400,287,382,214,694,213,99,59,28,42,104,7421
3094,22,573,349,384,477,508,535,578,621,700,517,462,369,537,198,396,1732,84,57,62,181,114,178,130,194,219,262,114,325,257,467,463,699,325,845,202,55,29,14,10,142,12908
3095,76,2024,1259,1339,1222,1422,1607,1475,1770,1824,1508,1438,1070,1781,1206,1276,5478,18,15,18,65,40,53,30,44,45,47,21,43,51,131,133,128,81,223,32,5,0,0,0,31,4254
3096,0,148,96,117,177,117,118,110,136,139,114,76,76,69,37,96,340,16,0,0,4,9,24,19,21,72,99,35,132,47,112,86,111,61,256,83,19,6,0,0,30,5933
3097,12,122,53,60,62,47,88,84,75,91,57,76,46,82,96,97,286,37,9,8,50,25,58,84,68,79,95,104,146,85,137,179,274,159,615,359,112,62,29,34,49,3052
3099,8,348,211,271,237,269,332,297,346,350,288,237,165,204,107,249,960,26,6,4,8,14,17,9,29,26,53,35,78,34,70,88,95,80,326,96,41,26,19,25,26,3848
3101,80,2299,968,1095,911,1062,1086,1079,1371,1559,1230,1196,838,1664,2422,1785,3951,30,0,4,11,4,16,3,5,3,21,8,16,11,24,54,95,74,285,122,43,13,9,4,26,5179
3102,33,507,319,290,309,298,300,334,379,393,312,264,242,451,485,373,1339,35,16,5,33,16,20,30,30,48,53,51,84,57,104,122,179,86,413,302,141,89,45,51,38,3009
3103,64,1842,717,777,677,807,787,740,867,955,683,660,505,833,1106,865,2444,17,0,0,0,4,15,5,20,22,33,20,43,16,39,31,50,25,182,88,55,50,13,26,19,2882
3104,80,2404,1085,1041,1006,909,952,1010,1111,1253,899,898,636,1161,1238,923,3802,51,8,7,20,28,57,42,77,45,82,65,197,216,348,305,375,162,701,360,131,48,28,38,58,4364
3105,47,1034,425,744,855,724,687,597,669,672,491,454,331,514,363,640,1645,54,0,3,6,16,28,50,59,24,47,38,69,74,138,140,221,113,428,253,95,61,34,72,42,2219
3106,73,1667,709,931,1015,962,958,947,1020,1049,758,725,517,890,820,992,2589,83,12,26,61,35,59,55,61,36,82,92,198,226,453,399,410,182,941,377,158,93,43,60,77,6248
3107,65,1201,528,821,1009,876,813,779,778,920,631,569,398,658,419,825,2287,76,11,5,13,5,25,12,30,7,14,8,29,13,39,59,122,91,398,211,134,91,30,43,43,10495
3108,101,2457,966,1374,1532,1339,1324,1242,1399,1328,965,835,587,845,570,1182,2771,34,0,0,0,0,4,5,5,4,12,6,23,24,49,73,125,64,161,49,13,0,4,0,9,3360
3109,132,3383,1365,1777,1976,1765,1695,1614,1762,1808,1247,1085,789,1229,748,1260,4729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
3111,40,1095,539,649,683,830,802,630,716,801,605,538,374,588,564,780,2119,11,7,0,0,0,7,4,3,8,3,6,10,11,40,39,109,60,118,55,33,9,7,11,18,2604
3113,28,684,373,378,367,407,464,451,485,522,440,386,297,545,484,440,1705,48,0,0,8,4,5,9,19,13,24,12,40,62,188,223,261,90,357,125,47,7,13,5,54,7252
3114,14,336,218,183,180,176,183,175,207,208,200,161,114,222,313,173,757,58,15,26,87,28,46,25,70,27,66,71,149,128,213,261,303,140,471,105,67,41,17,30,61,6709
3115,14,332,207,160,183,163,208,211,257,249,158,192,163,208,221,203,667,19,4,0,17,6,19,10,12,17,44,61,91,100,133,84,33,4,28,6,0,0,0,0,11,1251
3116,25,693,433,505,656,669,642,680,739,805,505,434,262,381,166,530,1740,68,84,109,322,174,239,195,244,105,193,391,543,237,801,187,171,94,154,18,16,7,0,4,171,6603
3121,93,1395,740,1539,1510,1395,1270,1382,1990,2595,2352,2208,1585,2675,2026,2671,3062,30,10,13,50,47,53,45,62,40,90,53,171,272,716,317,314,150,210,36,6,0,0,0,68,6445
3122,98,2082,788,1077,946,1032,1177,1098,1381,1711,1412,1344,880,1666,1995,1766,3061,85,29,48,116,50,92,112,129,106,167,164,316,168,230,169,331,265,1292,714,285,178,71,115,140,5825
3123,54,1229,412,609,553,621,632,666,872,1042,814,783,568,1020,1263,895,2297,31,20,36,114,46,49,40,48,34,76,44,83,60,109,86,169,78,400,144,41,33,14,12,44,1864
3124,64,2092,979,990,926,993,1085,1027,1144,1276,994,1047,743,1534,2018,1298,3870,35,29,36,113,38,105,71,91,63,161,167,256,234,240,174,233,126,456,147,48,26,6,12,71,3522
3125,110,2638,735,1078,1055,967,872,787,740,834,517,471,352,613,370,926,1949,11,19,22,70,23,27,23,17,16,40,32,84,75,97,68,102,46,199,48,14,6,7,6,24,1939
3126,19,769,380,343,341,311,342,321,388,432,364,337,263,530,950,558,1406,29,26,34,129,50,43,46,49,33,75,81,204,125,193,169,276,100,258,54,23,32,5,8,54,3898
3127,45,1656,898,825,787,816,851,834,992,1173,904,888,644,1340,1619,782,3400,3,0,6,4,5,6,4,6,5,30,7,35,24,54,16,22,3,13,3,0,0,0,3,5,428
3128,127,3014,782,1222,1355,1218,1189,1084,1238,1223,814,681,504,832,514,1273,2757,17,4,4,18,15,26,17,22,7,29,18,65,28,67,64,81,23,89,30,6,3,0,0,23,1783
3129,69,1934,770,1042,1059,1006,998,991,989,1160,837,741,542,812,579,747,3103,18,6,29,63,21,51,31,33,27,37,21,59,44,105,62,106,50,95,17,4,4,0,4,41,1430
3130,126,2950,1449,1674,1887,1951,1854,1765,1859,2074,1490,1375,1042,1784,1114,1820,5959,136,17,28,91,95,83,62,116,49,58,64,142,116,241,290,497,226,717,245,94,33,10,13,143,9539
3131,85,1987,945,1320,1558,1641,1378,1275,1531,1490,1063,906,657,997,497,1205,3981,22,19,14,61,46,48,58,57,30,52,57,155,130,270,91,82,56,106,24,6,7,0,5,46,2611
3132,45,1195,661,815,922,971,974,944,1083,1159,886,766,591,946,424,756,3004,4,0,0,0,0,3,0,3,3,13,16,10,7,4,9,16,3,9,0,0,0,0,0,0,251
3133,74,2140,1052,1284,1427,1375,1451,1282,1407,1441,1021,919,714,1113,556,922,3964,20,3,0,7,0,7,6,5,6,9,7,10,28,73,118,80,29,94,47,8,6,0,0,24,1979
3134,115,2450,1414,1879,1911,2190,1963,2013,2128,2475,1689,1482,1076,1504,833,1538,6131,71,13,7,45,28,79,56,88,48,91,50,93,126,276,492,661,317,546,148,48,5,13,8,97,7231
