Postcode,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)",Not stated,Not applicable
6765,0,41,50,253,231,61,47,58,78,82,59,54,19,42,10,226,440
6770,5,104,98,394,178,112,96,57,71,99,67,61,56,59,24,647,779
5000,128,3006,541,1007,938,833,835,711,805,866,637,571,438,697,460,1900,735
5005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5006,38,659,345,485,348,345,375,315,413,452,337,345,285,421,558,763,480
5007,35,512,198,490,545,631,470,421,494,580,396,377,251,251,99,562,781
5008,56,1037,499,1267,1310,1184,783,879,907,912,578,516,308,315,93,871,2159
5009,19,389,224,338,421,388,331,342,375,403,215,195,112,135,35,279,834
5010,45,540,216,512,709,449,324,411,411,323,167,117,76,69,18,398,1059
5011,40,809,358,708,780,926,833,801,955,932,634,523,326,346,105,631,2007
5012,91,1056,502,1106,1102,842,664,800,696,595,299,247,126,99,47,668,2230
5013,70,794,373,913,1009,899,631,669,798,650,338,258,137,122,34,667,1621
5014,45,675,400,835,1127,1100,749,867,959,867,559,431,293,250,88,744,1776
5015,19,303,199,420,457,414,379,413,460,505,314,263,158,186,56,355,795
5016,49,499,313,530,615,758,577,548,689,683,469,393,302,321,137,580,1389
5017,17,289,192,423,589,470,362,332,339,289,212,99,74,93,31,336,872
5018,16,353,247,319,468,400,436,388,430,488,298,246,174,220,87,276,707
5019,27,490,280,583,723,867,663,542,625,656,456,419,322,366,152,613,1340
5020,3,181,120,172,197,247,232,208,241,214,163,152,90,155,77,178,489
5021,18,328,239,368,466,484,487,422,447,411,309,239,203,258,184,277,653
5022,49,927,594,842,1125,1071,970,924,1065,1124,777,730,562,915,636,956,2471
5023,172,1028,594,1351,1579,1552,1144,1142,1300,1160,734,559,301,316,101,968,2577
5024,44,843,537,818,1169,1102,1040,925,988,1010,723,600,426,569,313,643,2098
5025,34,525,323,585,762,637,605,525,606,615,426,332,214,310,91,349,1320
5031,48,802,368,709,870,802,681,613,711,730,482,433,295,381,136,560,1309
5032,63,928,490,778,962,1057,856,862,994,956,606,569,347,464,223,594,1956
5033,41,636,268,572,731,717,603,591,682,613,414,304,159,199,56,616,1174
5034,40,692,408,521,517,550,596,558,635,686,558,509,378,678,505,607,1609
5035,26,409,216,353,416,452,418,431,404,495,348,257,181,283,110,373,936
5037,51,875,385,672,841,854,754,758,787,770,515,434,265,359,115,741,1614
5038,64,1158,529,991,1185,1177,1128,1148,1210,1318,801,602,408,434,113,745,2257
5039,32,592,317,581,710,745,603,567,601,625,417,359,266,318,92,478,1534
5040,13,262,132,171,222,202,164,138,154,150,104,94,86,100,56,104,363
5041,32,859,531,778,736,887,846,772,888,929,650,674,486,795,392,633,2501
5042,53,1000,427,936,916,894,920,716,687,743,451,363,222,255,84,549,1616
5043,70,1341,728,1382,1755,1905,1402,1330,1329,1342,799,650,348,443,142,1201,2607
5044,40,600,473,543,628,810,773,610,790,806,560,580,418,557,349,699,1646
5045,51,863,457,808,901,1123,1081,1007,1158,1245,880,835,547,847,589,1235,1975
5046,28,612,337,644,706,862,689,663,713,660,434,349,249,304,84,525,1233
5047,35,534,312,634,718,650,597,611,615,597,358,330,181,200,71,509,1323
5048,39,726,534,894,1022,1139,1075,917,968,1012,724,627,457,610,354,960,2152
5049,21,556,352,587,614,620,640,652,737,828,538,483,353,447,256,465,1622
5050,18,409,256,344,396,386,388,357,365,423,280,248,219,260,117,280,867
5051,32,916,586,708,765,769,867,872,878,1058,774,790,585,822,360,505,2803
5052,20,410,282,339,344,408,383,379,398,417,378,382,282,373,225,263,1074
5061,27,715,384,484,492,486,495,503,536,586,477,503,391,664,899,490,1568
5062,53,1095,693,714,692,894,858,808,882,973,737,743,575,1029,900,682,2610
5063,57,886,444,568,665,895,690,654,768,826,671,656,451,787,595,730,1972
5064,22,903,406,495,501,583,562,532,556,591,473,477,340,590,732,495,1585
5065,47,906,431,454,502,577,567,521,578,651,488,511,376,586,674,538,1788
5066,44,1042,490,543,499,518,577,545,694,722,565,618,463,836,914,469,2185
5067,37,835,311,523,581,597,572,505,654,761,578,499,405,647,587,726,1321
5068,54,1030,547,697,749,836,720,692,751,831,602,544,401,643,674,583,1825
5069,26,584,299,443,517,541,501,391,505,526,425,409,295,537,559,405,1316
5070,42,1099,524,885,1280,1278,940,881,968,1004,692,580,423,548,308,760,2055
5072,45,1163,486,748,823,952,752,738,762,878,638,595,465,590,385,567,2066
5073,64,1345,616,936,1243,1181,992,926,1038,1093,714,636,411,608,233,679,2532
5074,72,1016,484,877,1279,1107,905,864,954,924,535,425,280,304,116,684,2124
5075,38,739,411,748,841,872,771,717,860,796,469,396,278,316,98,555,1726
5076,31,661,422,593,636,640,612,643,655,717,502,449,346,387,135,262,1489
5081,37,716,340,487,533,564,456,515,526,600,468,463,355,611,644,548,1406
5082,72,1014,538,892,894,1025,911,872,1000,1091,754,759,538,793,443,818,2505
5083,29,492,257,430,485,514,492,495,593,585,395,362,277,338,124,325,1308
5084,67,901,407,1064,889,930,660,649,667,486,295,208,126,105,49,762,1799
5085,91,1593,633,1206,1382,1413,1146,1215,1409,1375,910,775,532,489,190,1899,3721
5086,59,1271,581,1138,1385,1272,996,1034,1174,1187,761,625,385,420,142,833,2888
5087,45,943,360,812,928,834,830,745,833,825,560,467,287,295,102,665,1865
5088,12,200,121,231,316,303,252,240,275,260,128,88,66,38,9,179,568
5089,20,455,288,388,424,414,401,403,481,564,356,310,248,323,112,224,1179
5090,11,449,292,478,1011,757,617,547,584,596,351,242,167,147,38,486,1118
5091,18,478,307,394,501,550,552,520,608,593,403,362,243,249,82,378,1269
5092,53,1277,710,1125,1354,1359,1281,1292,1414,1444,870,655,348,425,85,790,3088
5093,50,637,341,698,851,767,675,623,691,697,388,286,157,149,25,425,1564
5094,6,80,35,92,90,80,80,67,65,53,23,16,8,8,3,53,142
5095,120,1833,721,1273,1314,1225,1260,1386,1532,1569,970,920,543,676,244,1041,3894
5096,45,888,539,1018,1114,978,987,947,1068,1013,564,430,220,280,73,666,2559
5097,36,828,519,765,1204,1104,949,871,1154,1106,798,577,323,341,96,588,2298
5098,50,872,448,891,1251,1125,895,875,908,833,481,357,234,201,43,626,2223
