Postcode,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Count salary and wages,Average salary and wages,Median salary and wages,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Count total business income,Average total business income,Median total business income,Count  total business expenses,Average total business expenses,Median total business expenses,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
2128,1360,48730,40875,1088,53751,48588,184,-3245,-2016,1360,50774,42820,1360,2044,512,189,68143,31971,175,52938,16015,1020,12933,9124,1532,49354,18380
2130,4679,70985,55125,3963,70164,58656,769,1074,-3,4679,73664,57124,4679,2641,808,530,67061,25543,493,35216,9741,3813,22362,13933,5839,115304,41019
2131,14653,53731,42249,12139,54906,46614,2128,1161,-362,14653,55674,43887,14653,1888,514,1420,74340,23946,1278,56547,9768,10931,15728,9876,17432,75088,20110
2132,6209,62437,46268,4769,64777,53057,1487,1351,-13,6209,65010,48417,6209,2468,605,607,94422,32500,562,72800,14246,4626,20418,12539,7444,110818,37201
2133,6303,57922,45999,5068,60468,52101,1310,960,-224,6303,60551,48786,6303,2483,764,672,93532,35354,636,69692,16950,4856,17006,11516,7400,99168,39177
2134,9298,49368,34167,7195,49300,39166,1916,943,-719,9298,51272,35622,9298,1826,320,857,92442,26354,763,67929,11024,6182,16581,8649,10752,70061,11050
2135,17028,65516,40582,13362,54663,42126,3743,2693,690,17028,68324,42175,17028,2700,400,1446,297382,39711,1350,250225,19618,12276,24044,10868,19303,141778,15057
2136,4559,57842,44741,3577,59735,50687,1026,1705,47,4559,60434,47545,4559,2552,698,484,86776,31970,464,61258,15518,3461,17521,11016,5207,93801,34930
2137,16667,73278,51137,12876,71442,56818,4120,867,-250,16667,76867,53757,16667,3376,741,1485,160553,35599,1422,124359,16230,12823,25610,14215,18519,170728,54422
2138,11558,60277,46072,9362,64093,52952,2452,-2958,-2570,11558,62724,48188,11558,2385,562,1015,82235,29569,948,56470,12418,8578,19577,12327,12568,87009,23748
2140,9488,50342,42370,8093,53116,47586,1306,-2698,-2689,9488,52354,44114,9488,1951,555,863,93927,25000,780,79131,9045,7090,14035,9434,10594,53946,15637
2141,16374,44664,35456,12926,47835,41376,2785,-732,-604,16374,46314,36767,16374,1630,376,1823,64929,31544,1677,45896,12487,11382,12389,7900,18539,55541,15302
2142,12651,43926,37799,10426,47044,42872,1502,-1685,-1370,12651,45785,39492,12651,1836,575,1663,61757,29423,1538,44817,13058,9221,10996,7728,15055,42634,13066
2143,4592,46047,38658,3604,50383,45125,757,-542,-526,4592,47858,40150,4592,1791,544,514,107136,33282,487,93148,16440,3315,12191,8553,5209,66641,23469
2144,18685,37953,30516,14062,40694,35930,2083,476,-140,18685,39451,31735,18685,1488,339,3285,55119,30531,3018,38278,12512,12445,9448,5490,21071,33990,7742
2145,43325,54429,46337,36324,58279,52418,7390,-2520,-2148,43325,56711,48640,43325,2245,830,3749,73625,29203,3577,53336,13310,33467,15146,11062,49740,78430,30241
