Postcode,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Count salary and wages,Average salary and wages,Median salary and wages,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Count total business income,Average total business income,Median total business income,Count  total business expenses,Average total business expenses,Median total business expenses,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
5127,4884,52416,46188,4117,54844,49815,805,-4583,-3297,4884,54459,48056,4884,2037,740,306,66218,29178,301,43669,11632,3909,13107,9955,5488,121232,62826
5131,640,53675,40236,439,52683,43475,147,-1724,-1498,640,56597,42479,640,2910,608,58,70373,29013,58,47633,12414,454,16349,9865,728,173339,81253
5132,272,66396,50074,199,56680,47876,52,-3070,-2696,272,70455,51952,272,3470,560,19,147562,38303,19,127623,26589,203,22733,12833,294,228701,75003
5133,311,54362,42690,229,61323,53173,75,-3244,-2249,311,57175,45000,311,2808,683,29,48938,24107,27,38770,16987,222,16920,10654,334,156529,93031
5134,231,54721,39846,159,54903,43294,37,-3730,-1918,231,57103,40436,231,2373,575,36,90042,18420,34,60182,13979,156,18323,10618,264,177246,78461
5136,311,56596,40388,204,58484,47808,52,-3527,-2599,311,58823,41093,311,2090,580,40,53649,24052,40,32183,13556,221,18339,11242,342,201974,79540
5137,349,61628,46371,260,55305,47190,60,-4024,-810,349,64962,51369,349,2888,600,54,180475,38496,53,117763,16146,261,19683,12147,395,178865,72708
5138,170,49968,37423,135,50277,39482,26,2905,3090,170,52369,39331,170,1945,300,24,103103,34994,22,75765,20190,111,16694,13030,201,146462,49597
5139,151,61999,51103,100,58810,48222,19,-5533,-1955,151,64800,54052,151,2760,319,23,61011,20572,22,46652,21823,114,19910,13286,171,148158,63885
5140,259,68164,57803,200,71926,67536,50,-7066,-3048,259,71215,62246,259,2796,1407,26,108420,36380,24,83583,26012,209,21127,15207,293,138443,72544
5141,436,56291,43540,338,54049,39982,69,-1376,-405,436,59963,45816,436,3606,910,52,83816,24972,50,55402,9713,325,16899,11379,502,193794,85228
5142,461,60872,43630,306,57432,46402,90,-447,-518,461,63633,44866,461,2737,660,68,82877,28990,64,61391,15042,349,19152,10112,472,182045,83613
5144,260,63873,42720,176,57440,45732,56,-1602,-1161,260,67923,44815,260,3940,604,28,118764,24803,29,64589,9446,190,20662,9854,290,185307,58726
5151,273,75041,52593,194,60917,45976,50,-1826,-314,273,78960,53463,273,3899,720,47,118718,19232,43,72768,12640,207,26611,14327,298,194889,82165
5152,4133,75373,49957,2812,68213,54171,764,-3343,-1917,4133,79574,53055,4133,4013,777,533,105196,31769,517,65171,13354,3134,26883,14375,4471,228548,92911
5153,3998,58953,42834,2863,58051,47291,705,-3051,-2064,3998,61951,44869,3998,2862,604,518,64239,28588,511,42104,16196,2935,19057,10456,4298,172931,66257
5154,2287,75072,49529,1573,70790,52330,425,-3779,-2285,2287,78396,52123,2287,3250,733,273,97961,30000,259,58827,13347,1714,27337,13853,2489,225686,90760
5155,2406,55830,45781,1848,57149,49980,378,-2867,-2258,2406,58143,47796,2406,2267,689,307,65033,31267,296,36064,13158,1844,15825,11001,2760,150268,66857
5156,629,57652,47058,457,63241,54986,108,-4360,-3434,629,60049,49722,629,2323,685,79,62806,36400,77,36538,11171,456,18511,13221,684,148462,77379
5157,1930,55076,41024,1357,56978,44772,360,-2040,-1402,1930,57894,43348,1930,2689,617,231,79904,28158,228,60098,15162,1409,16822,9632,2047,173653,79949
5158,15402,50690,44787,12778,53438,48776,2096,-4153,-2760,15402,52760,46773,15402,2046,735,1224,57419,29553,1182,37690,12514,12157,12660,9545,17195,104623,54171
5159,20419,51285,43911,16217,53887,48019,3063,-3569,-2561,20419,53358,45721,20419,2046,663,1645,68275,27391,1587,46492,10919,15637,13514,9690,22402,121479,60931
5160,138,50667,42102,78,44671,45058,31,-6768,-2791,138,55231,44654,138,3975,406,28,146129,64146,26,132705,56860,96,15675,9986,163,158042,44044
5161,5566,45143,41981,4597,47962,45741,586,-3046,-2104,5566,46904,43642,5566,1736,660,413,59540,30892,401,39557,14922,4297,10225,8018,6416,84055,47334
5162,18322,44778,40748,15173,47402,44499,1996,-4035,-2944,18322,46565,42497,18322,1768,640,1379,55699,29227,1333,36703,12667,13987,10294,7770,21320,80205,43484
5163,6810,43332,39064,5567,45690,43089,799,-3711,-2428,6810,45229,40894,6810,1846,622,560,63167,29972,550,42790,12617,5086,9921,7412,8230,74027,36038
5164,1903,39697,36727,1596,41937,40552,108,-3132,-2590,1903,41174,38732,1903,1460,593,124,37808,20138,120,23503,8423,1405,8274,6560,2557,55167,28704
5165,2617,43833,37720,2018,46430,41664,371,-2272,-1664,2617,45704,39399,2617,1775,587,255,61007,37205,244,41956,19163,1911,10383,7080,3224,71755,31440
5166,900,42346,39198,715,44586,42246,99,-2934,-1653,900,43969,40510,900,1617,645,87,53171,33642,86,34269,14268,678,9271,7053,1136,71968,36662
5167,3270,47703,41704,2607,50834,46529,527,-2451,-2234,3270,49766,43513,3270,2032,732,320,64471,32574,310,43236,14276,2471,11982,8794,3777,98689,48780
5168,2777,44560,40934,2282,48110,45226,340,-4296,-3534,2777,46478,42522,2777,1879,705,224,67028,39374,226,46064,17288,2129,10216,7723,3272,71676,37831
5169,9242,46846,41792,7639,49264,45673,1110,-4137,-3312,9242,48878,43622,9242,1992,724,789,63852,30000,757,40368,13747,7066,11290,8433,10283,73877,38474
5170,661,45344,39403,500,48309,44242,105,-1400,-442,661,47448,40948,661,2031,700,82,54070,31028,82,39806,15126,480,11343,8218,768,91307,42041
5171,3698,49705,39850,2494,52288,45631,622,-2373,-2221,3698,52247,42292,3698,2353,532,427,73082,32840,412,49895,15020,2625,14377,9068,3919,148629,63176
5172,2527,50265,40039,1763,50965,44466,484,-1388,-1483,2527,53105,42664,2527,2569,561,307,73232,32754,300,53612,15255,1820,14355,9283,2723,142855,59753
5173,6481,44799,38945,5043,47069,43021,777,-2341,-1852,6481,46803,40679,6481,1958,662,732,54368,26108,704,36389,11875,4752,10952,7882,7430,75128,36521
5174,1520,44905,39490,1183,47710,43120,227,-2119,-1888,1520,47151,41420,1520,2108,660,159,45318,26090,158,26582,9664,1142,10697,7502,1745,79991,36426
5201,1243,47203,40741,904,52033,45557,206,-1168,-2052,1243,49860,42678,1243,2574,626,167,97031,28836,162,84662,18829,909,12668,9111,1319,121504,55984
5202,492,44721,38000,347,47837,45383,75,-3404,-2795,492,46819,41396,492,1931,440,57,87246,36659,56,62292,21116,356,11688,9020,559,86798,38946
5203,677,40601,35989,413,43887,39585,109,657,-110,677,43062,37263,677,2300,413,82,53885,26110,75,41419,16668,436,10887,7008,744,107637,45839
5204,1413,39529,31850,851,41363,36957,211,-106,-422,1413,42044,33360,1413,2327,399,199,67020,26147,192,52464,12354,874,10937,6203,1580,133228,54581
5210,1083,46130,38606,800,48775,43452,166,-1789,-2212,1083,48490,41085,1083,2067,512,146,92708,32001,139,80528,19404,774,12449,8600,1174,105327,50944
5211,7602,40365,32606,4486,42941,36940,1014,-1102,-944,7602,42441,34263,7602,1891,400,792,64841,26288,768,46432,12344,4767,10982,6223,8240,136537,51277
5212,1137,39244,30916,632,41116,35150,171,-92,0,1137,41240,31943,1137,1958,411,115,49518,24338,113,34147,10814,695,10670,5820,1242,157221,56244
5213,692,47086,36945,432,46385,40012,111,-1986,-886,692,49488,38659,692,2375,494,104,62986,34686,103,33383,18857,469,13743,7846,755,149168,59343
5214,3986,40093,30832,2380,42805,36394,525,-313,-404,3986,42077,32426,3986,1847,398,446,69065,26000,424,56749,13208,2465,10947,5967,4524,134550,54437
5220,248,39112,32542,165,35481,31824,22,-678,904,248,42503,36242,248,1728,396,39,151102,48237,37,143861,35749,172,8966,5338,267,70727,29803
5221,169,35716,30194,110,35441,29810,19,356,-617,169,37578,31445,169,1494,300,28,89255,24256,26,78914,24077,103,8445,5512,188,110152,42971
5222,401,39459,30145,223,37255,31324,67,452,-226,401,42421,31700,401,2654,300,66,32076,20037,62,21150,9984,245,11073,6503,413,127981,35482
5223,2056,39850,33666,1380,39877,35898,329,-675,-604,2056,42131,35139,2056,1854,361,314,68054,25264,305,53973,15123,1372,10205,6288,2229,99884,42054
5231,715,61073,41781,536,56200,47119,130,-2923,-1788,715,63715,44182,715,2634,691,66,67034,37630,64,43980,24934,525,20635,10736,799,128986,65940
5232,281,60497,41429,225,57501,43232,43,338,484,281,62849,43294,281,2278,743,33,55040,11768,31,39897,12598,210,19817,12279,298,144568,78441
5233,892,50831,40312,670,50627,45191,185,-670,-972,892,53422,42338,892,2377,650,95,79414,22082,95,62831,15357,655,14285,9575,978,125292,60564
5234,870,49121,40602,642,54425,48634,141,-1819,-855,870,51634,42373,870,2329,576,106,88750,31921,102,69934,23883,630,13813,9844,946,127713,65809
5235,1329,44347,37122,914,49370,44010,211,-2346,-1907,1329,47000,38893,1329,2394,540,167,45787,25906,158,32949,17222,912,12008,8332,1496,119972,56749
5236,140,49804,38044,112,53540,42766,15,-3220,-5398,140,51798,39360,140,1811,464,16,41251,28257,17,26228,13570,102,14469,7511,161,83556,42394
5237,188,37100,32810,136,39678,36398,19,-3219,-2179,188,39381,33406,188,1995,467,26,128214,38606,25,114440,30811,126,8895,5714,226,69820,35149
5238,2019,39295,33305,1377,42335,37171,265,60,283,2019,41432,35056,2019,1863,415,199,69599,28685,189,55300,19620,1320,9954,6664,2337,96898,45659
5240,334,44735,38854,221,52155,49290,61,-3462,-688,334,47247,41053,334,2086,392,35,69099,18960,34,39397,14160,218,14003,10276,364,144074,58880
5241,1473,53722,42914,1181,49470,44627,145,-785,-1641,1473,55810,44609,1473,2028,626,141,56799,29657,136,36513,12908,1124,15506,8708,1674,99773,49758
5242,1016,58261,44364,754,57026,45838,167,-740,-1811,1016,60883,46166,1016,2600,736,109,64822,29986,112,42328,12054,752,18437,11674,1104,153949,68261
5243,577,59118,45849,397,59337,44984,97,-1168,-3356,577,62551,48019,577,3323,627,64,71135,35302,67,48931,17576,427,18590,11134,620,196235,67770
5244,2464,50835,42057,1828,53544,47499,364,-2977,-2386,2464,53384,44406,2464,2262,635,302,59965,27125,301,47014,17244,1796,14515,10080,2712,136994,60173
5245,1945,57258,41931,1291,58950,47334,323,-1229,-930,1945,60279,44233,1945,2746,561,210,66136,33188,206,43411,12607,1418,17686,11026,2019,179469,73797
5250,2175,55159,44725,1687,56293,48041,320,-4220,-3860,2175,57682,46673,2175,2492,719,220,103055,26682,218,78764,11632,1664,15507,10760,2342,130401,65428
5251,8284,50585,42560,6528,52111,46840,1087,-2544,-2172,8284,52827,44402,8284,2181,648,734,66962,24628,706,50233,11972,6251,13467,9077,9129,103486,47086
5252,3748,48912,42818,3067,51956,46985,469,-3003,-1867,3748,51105,44672,3748,2150,718,382,49286,24665,373,32649,13644,2870,12434,9064,4129,91111,50975
5253,9833,40299,36408,7759,41531,39474,1086,-1539,-1214,9833,42272,37840,9833,1891,514,736,60566,29942,707,45920,14765,7005,9267,6363,11502,76068,27926
5254,1208,42420,36594,885,45781,42682,141,-880,-1322,1208,45166,38761,1208,1919,538,143,66342,24672,143,56161,18808,828,11442,7572,1354,82529,41295
5255,5144,46446,39045,3756,48305,42991,742,-1369,-1046,5144,48834,41028,5144,2158,592,540,81394,29700,533,64055,18261,3726,12140,8093,5592,113146,51547
5256,593,38250,33498,407,42613,38797,79,-1162,-859,593,40436,35085,593,1871,465,68,39275,17066,68,28808,8226,390,9104,6576,709,83566,37324
5259,444,36768,34511,317,39305,37588,53,10,-695,444,38888,35208,444,1967,410,41,55438,23052,40,39486,6808,305,8341,5896,516,95173,33623
5260,845,40145,35281,598,41256,40054,110,310,48,845,42214,36529,845,1862,450,60,98571,32170,56,89203,24173,575,9740,6322,989,80502,34116
5261,230,40972,35752,120,39886,33806,29,1283,980,230,45671,39926,230,4315,419,18,164289,37004,16,197932,40853,159,12153,8312,248,96249,45188
5262,329,49847,41242,216,37524,34983,43,-63,-101,329,56882,46106,329,2624,401,32,124099,72748,33,106164,45214,230,15428,8866,331,149842,42172
5263,171,58128,46834,112,53057,54166,34,2686,-652,171,64770,52519,171,3812,421,16,120562,44268,16,98189,23672,123,18862,12996,174,156261,57842
5264,729,39940,34680,500,40452,37000,85,780,225,729,43307,37000,729,2536,456,56,124493,55560,56,102936,39097,491,10728,6517,828,97709,38586
5265,209,35207,33627,133,38431,36000,33,-1532,-980,209,38801,35800,209,2297,305,18,153802,32418,18,131788,24804,124,9782,7443,228,89258,38756
5266,420,45224,37476,275,37343,33203,79,1559,676,420,49781,41646,420,3431,408,38,143696,45095,37,133943,35330,291,11921,7372,431,108491,39332
5267,1228,42382,37518,848,42408,39602,178,-1518,-818,1228,45887,39922,1228,2656,450,105,100817,30158,104,91145,16802,872,11683,7602,1310,105765,45007
5268,2359,40403,37123,1714,41718,40470,283,-1047,-814,2359,43276,39225,2359,2479,567,159,80714,33038,151,72308,23682,1660,10134,6871,2527,113267,34954
5269,110,26112,32082,74,37555,35112,17,3785,4928,110,28546,32992,110,2434,400,8,17660,11560,7,36370,6080,73,8190,4989,129,48773,20126
5270,406,39035,36388,246,42156,39170,50,-1754,-1098,406,41595,38230,406,2256,354,22,56327,52175,23,37162,21841,274,10525,7182,408,112497,46147
5271,4861,44902,38490,3571,42940,40314,614,-1365,-776,4861,48022,40538,4861,2790,592,350,94522,29778,335,84076,20112,3472,12149,7840,5232,108147,41143
5272,540,50651,40187,353,41896,38372,76,-3774,-1666,540,55798,44278,540,4371,512,55,120232,38283,53,99046,25495,407,14058,8207,552,123656,47311
5275,1364,49555,38156,908,40064,36162,170,1125,228,1364,54258,41720,1364,4071,585,135,149945,43689,135,120547,21886,976,13603,7923,1469,130975,46051
5276,854,46560,33817,501,41918,34779,121,1915,866,854,50212,36090,854,2900,488,105,87786,33625,106,67339,16262,558,14726,7547,895,142697,46271
5277,1622,47939,40164,1238,44141,41257,162,-407,-1184,1622,51080,42296,1622,2643,528,105,72287,26289,107,57609,14362,1192,12704,8492,1800,95560,43488
5278,324,52139,39978,216,40751,39570,35,2437,461,324,55523,42322,324,3111,484,24,76893,30430,24,66287,22460,223,16467,9189,355,105213,39112
5279,217,46710,36427,161,42544,40537,18,-3420,-1436,217,50398,40670,217,3664,665,18,26202,15462,18,13351,6069,148,12860,8020,252,107577,35659
5280,4047,49961,39126,2974,47280,40508,561,-1008,-1044,4047,53739,41701,4047,2769,650,315,73402,34251,302,57172,19757,2920,14109,8699,4530,133843,48687
5290,14892,48086,41510,12056,47942,43944,1899,-1424,-914,14892,50088,43144,14892,1913,594,1035,118587,31595,1013,99645,15276,11371,12018,8470,16871,105542,46932
5291,4015,53670,43124,3014,50618,44239,608,-1706,-1138,4015,56510,45721,4015,2639,549,375,70351,34429,360,57274,20957,3064,14959,9960,4271,108745,54275
5301,325,34043,27139,163,35676,29949,47,2303,928,325,37392,29257,325,2374,151,43,203960,44942,43,194355,52519,182,10251,6420,326,74525,35448
5302,523,47066,36695,341,44166,41069,51,-459,-433,523,50322,38095,523,2042,300,42,116395,43064,40,99083,26868,362,14213,8706,532,120156,48977
5303,125,34924,26716,86,33326,27060,3,-4712,-3281,125,36618,27813,125,1538,250,9,97197,25393,9,87015,29926,74,10511,5547,140,38820,6686
5304,548,38897,33569,354,36863,32076,61,579,-589,548,43281,36919,548,2594,304,48,90353,35990,47,80162,30574,372,9565,6184,586,73160,30914
5307,337,37580,30943,168,38794,36851,46,-488,-920,337,40151,32697,337,1924,230,53,103159,46034,52,97277,42439,215,9860,6350,318,77557,40486
5308,54,31673,25458,22,43888,45812,7,-255,-288,54,36193,27125,54,3613,454,3,77645,90403,3,62407,77987,31,8140,6807,51,62692,29895
5311,124,37115,34646,73,37301,36000,15,386,0,124,40422,36142,124,2169,209,8,93195,45498,8,86118,23173,83,8615,6131,142,59514,20315
5320,247,43785,39385,182,43524,37765,32,-1718,-1080,247,45850,41366,247,2065,665,17,32112,11000,16,27079,6308,178,10985,7859,332,104250,52524
5321,166,36021,34078,128,37417,35612,6,-1022,-292,166,38351,35552,166,1995,510,13,68966,32838,13,53786,17854,99,8787,6106,187,72077,44030
5322,377,44426,35180,288,40371,37479,46,-820,-840,377,46803,36704,377,2262,500,26,85973,17568,26,65244,9371,262,10807,7194,446,122191,41001
5330,1930,42835,36804,1447,41565,37912,289,1193,416,1930,45502,38392,1930,2519,540,144,74071,22746,140,58773,11998,1393,10347,6697,2269,100911,39343
5331,174,44048,36776,122,39100,36838,25,-219,-1187,174,47307,39650,174,2949,428,12,35746,23548,16,27429,8792,120,11945,6755,201,115960,53226
5332,224,48924,35567,159,41406,40462,22,1870,3054,224,51567,36813,224,2255,584,22,78687,47951,19,66471,31131,155,15309,6851,247,96198,40293
5333,3366,44202,38482,2553,43874,41402,460,-1871,-650,3366,46905,40502,3366,2330,632,248,65678,27096,243,49798,16532,2435,11252,7685,3899,97740,45642
5340,852,41622,35522,656,40925,39210,95,-458,-1242,852,44629,37430,852,2087,580,59,91970,27250,59,82003,13014,587,10717,6757,962,98299,37956
5341,4349,41808,36484,3436,41741,38852,510,-654,-492,4349,44387,38257,4349,2242,597,298,61294,26397,294,44264,19892,3032,10601,6846,5161,83024,29652
5342,548,41559,37970,416,44345,42154,74,-1554,-240,548,43946,39832,548,2273,565,54,113605,40071,55,84009,19668,389,9798,7390,617,86733,44737
5343,2830,44574,38860,2189,45550,41948,363,-344,-336,2830,47007,40967,2830,2297,664,239,114186,35360,233,96522,21578,2048,11133,7518,3438,89428,36083
5344,373,40181,36390,281,45212,40035,39,-2188,-548,373,42399,37841,373,2021,564,41,93061,39747,42,79914,32901,253,10118,6909,446,75871,35124
5345,1906,41977,37322,1427,44198,41116,271,-582,-501,1906,44197,39068,1906,2127,538,149,73058,36208,145,60820,24756,1342,10349,7208,2168,90825,38418
5346,176,39035,32782,148,39729,34358,26,2064,168,176,41320,35870,176,2157,514,11,63514,37147,11,46362,15678,126,8516,5885,199,102700,47465
5350,229,50850,43158,173,54606,48608,51,-2679,-2762,229,53255,45700,229,2382,715,26,74043,26072,26,70584,22702,167,14784,10397,253,131266,70094
5351,3452,49966,42580,2720,52386,47521,572,-3798,-2881,3452,52203,44593,3452,2117,648,319,69648,31952,311,52307,17210,2616,13157,9406,3776,117410,59026
5352,3200,52305,43018,2433,52773,46155,561,-3176,-2147,3200,55308,46156,3200,2868,726,321,103120,22616,310,92658,11738,2354,15106,10196,3585,137567,66646
5353,2227,48188,39565,1675,48298,42998,313,-595,-703,2227,50655,41905,2227,2208,559,251,74357,23518,240,63494,13725,1602,13379,8858,2514,117635,54311
5354,175,42323,37301,130,38142,31848,16,-1187,-84,175,44892,38351,175,2570,458,12,109282,55953,12,89235,39652,131,8625,6460,232,70462,36194
5355,4313,48845,43402,3331,50770,46998,568,-2079,-1556,4313,51179,45268,4313,2189,685,384,60286,21200,379,44208,9384,3234,12633,9673,4803,116144,58656
5356,472,43653,40202,370,45667,43616,61,-505,-284,472,45922,42100,472,1640,540,59,72853,21165,58,63345,17540,340,10735,8717,523,72181,42145
5357,199,36611,32900,138,40662,38272,29,-2896,-2318,199,38586,34759,199,1732,465,16,72022,55342,16,58254,27201,127,8507,5875,248,70223,31466
5360,758,50055,43852,582,52580,46850,129,-3592,-2005,758,52911,46539,758,2592,755,75,66545,25572,70,47040,14044,569,13365,9703,819,110697,61411
5371,854,49130,43266,670,52028,48332,156,-4046,-2836,854,51392,45022,854,2203,672,71,62105,29449,71,48843,14932,662,12424,9387,901,102277,54582
5372,1214,49296,45732,997,51744,49916,166,-2881,-2187,1214,51726,48389,1214,2352,780,103,78594,36912,105,59036,18029,959,11963,9650,1314,93347,53134
5373,1810,46938,40060,1347,46894,43216,234,-1226,-837,1810,49641,42382,1810,2421,578,179,69494,20000,173,46585,12111,1328,12240,8181,2050,104976,50974
5374,776,42465,34405,518,40999,37000,95,-153,-364,776,45306,36284,776,2210,395,101,73356,24960,98,58392,15704,515,11470,7174,865,79700,37626
5381,197,32648,29861,123,37149,36106,7,-4729,-5767,197,34495,31691,197,1639,300,31,52357,29709,30,44381,31050,121,7694,5356,211,67957,29624
5400,442,47711,42639,344,50349,46270,55,-3118,-2106,442,50388,44402,442,2540,518,40,78410,54802,39,61863,28984,334,11996,9029,478,95170,52326
5401,423,47029,44416,315,48396,45770,46,-1553,-1621,423,49697,45897,423,2500,597,43,51026,20450,43,38344,13675,327,11328,9491,479,99562,42203
5410,139,48296,38093,95,51580,46992,13,-3795,-2579,139,50742,40869,139,2375,569,17,43386,37083,15,33254,13536,91,14685,10278,164,100893,51792
5411,181,45373,39206,120,41411,38790,43,908,-85,181,48965,41815,181,3591,400,17,100274,51650,17,81430,40840,128,11247,8202,193,95366,40919
5412,612,47304,38447,411,45209,42406,101,501,89,612,50679,40679,612,3358,562,59,74536,25560,55,52056,11695,433,12778,9034,665,129731,57232
5413,486,44974,31106,318,39365,33138,72,1461,-134,486,47697,33091,486,2441,355,40,45522,23419,39,35687,11303,310,14664,7076,512,104925,42752
5414,102,32476,29110,61,39530,36870,18,3714,256,102,35255,32436,102,1561,192,10,82195,44606,10,58522,18780,57,9253,5427,105,69721,29112
5415,142,42364,36804,88,47014,40601,19,-1701,-1111,142,45907,39216,142,1905,208,29,55679,30133,28,37759,11848,91,12893,8636,139,182567,50280
5416,131,40798,35443,98,41332,33650,26,-4469,-5882,131,43417,37555,131,2393,465,17,61902,27503,15,55618,20253,85,11455,5846,136,103666,41801
5417,773,43958,36289,504,42072,36928,127,-808,339,773,46718,38300,773,2611,592,89,89081,27204,83,70409,18458,535,11638,7274,919,106437,45094
5419,128,40945,31030,82,41667,39158,19,-3769,-1345,128,47091,37047,128,3249,468,10,48508,11844,8,51177,15440,74,17044,8112,128,107010,35570
5422,654,41286,35726,480,39606,33958,74,-73,98,654,43224,36084,654,1755,418,54,84033,38046,56,60251,27106,454,9536,5733,776,70233,31826
5431,527,47111,37397,341,39221,33994,66,139,530,527,50477,41240,527,2870,502,79,115304,42038,76,95925,33674,382,11363,7843,537,104016,44192
5433,693,52838,42804,539,55000,47292,123,-594,-73,693,55553,45022,693,2309,917,60,99583,21950,59,91241,13579,502,15096,10848,788,123836,52886
5434,228,47448,39788,149,42686,37284,28,3256,-842,228,53275,44302,228,4230,836,25,71294,20000,26,46128,8548,168,12136,8155,254,104572,38421
5440,149,63340,47710,103,45921,42770,24,472,-74,149,70166,52031,149,6254,1136,16,109187,53125,16,70511,25261,123,16930,9598,157,104514,39234
5451,409,42834,38699,283,47807,43370,63,-628,-297,409,45492,41077,409,2564,557,49,63531,28945,49,52204,14927,286,11570,8064,432,157288,65655
5452,283,43222,37812,206,47544,41849,44,-992,-294,283,46753,40576,283,2997,550,22,38404,17114,21,29661,12447,201,11130,7851,301,149984,66213
5453,3046,50797,40140,2184,48914,42728,483,-1031,-965,3046,53916,42838,3046,2715,626,300,87003,26135,292,67529,12644,2261,13988,8748,3281,128461,56556
5454,217,35562,31436,133,37683,34843,32,-1922,-1432,217,39892,34128,217,3111,594,27,171770,27318,26,169862,21552,146,8429,6412,210,94800,49342
5460,375,49295,36946,254,43469,37450,51,651,701,375,53787,39213,375,3562,522,35,65407,20000,36,52481,17523,270,14103,8546,393,103225,39737
5461,1346,48106,39619,943,45370,41057,191,-1599,-1335,1346,51765,42318,1346,3384,883,122,102523,27131,120,79236,15664,979,12747,8516,1460,120100,45706
5462,318,45605,36804,226,40690,33786,38,-2184,-2012,318,49164,39608,318,3559,738,42,95488,37382,38,74828,27014,232,11995,7955,326,83818,39532
5464,270,43872,37923,180,39578,36415,46,-3098,-1539,270,47230,40537,270,3357,462,20,80449,52767,20,58357,30482,198,10564,7704,291,108874,49284
5470,67,45913,37782,44,38597,35776,9,575,-1180,67,49085,40130,67,2011,299,4,21199,16093,4,9892,4780,45,13623,9481,71,113569,27199
5472,69,34973,28291,42,33836,26465,6,344,1378,69,37850,30522,69,2877,347,10,90717,16654,9,107829,24260,43,8452,3606,91,127439,29467
5473,353,41892,36691,260,43402,39062,46,-2494,-1388,353,44868,38779,353,2647,548,35,52885,24727,37,46158,18357,239,11391,7228,407,80753,28448
5480,491,46679,37889,340,47087,39909,72,-1819,-1768,491,49395,39494,491,2186,451,44,88861,29536,41,67149,25556,340,12966,8499,516,102777,61081
5481,321,37076,31466,199,40248,34700,42,2432,370,321,39377,33944,321,1688,262,32,129115,39748,31,111515,33942,203,9399,5617,328,103428,56574
5482,321,41437,34627,200,40651,36143,35,-2044,-344,321,44631,36840,321,2271,364,29,81805,25307,25,60785,29525,209,11851,7071,321,103758,55062
5483,207,43841,38437,130,47311,39498,23,-3689,-3027,207,46986,41199,207,3016,625,31,65540,25000,28,68222,23842,139,13556,10026,214,141790,57179
5485,318,54483,43363,232,51914,41124,28,2513,1588,318,56836,46344,318,2250,695,36,62865,21068,35,41947,17220,240,14842,10678,328,110173,51325
5490,86,39080,36148,52,40205,36528,8,994,1316,86,43540,37856,86,1671,276,8,44445,39725,7,38483,29523,60,10417,7628,88,94840,40599
5491,1078,52435,41994,763,46992,41137,142,-1882,-1475,1078,56500,44569,1078,3141,622,104,126822,52557,100,105176,28064,815,14743,9460,1155,121091,54780
5495,237,44240,36277,178,47459,43550,37,-1472,-271,237,46276,37067,237,2024,652,24,35767,26180,23,26559,20415,170,10910,7434,277,93579,45890
5501,3930,49049,43404,3125,50938,46947,583,-2587,-1796,3930,51408,45184,3930,2259,701,363,77608,32662,361,56772,18157,3068,12217,8910,4456,84025,46861
5502,842,55112,42502,619,48449,44302,125,-75,-899,842,57894,44632,842,2725,729,86,98582,45828,88,76689,24808,630,15939,9499,921,92410,45034
5510,64,42083,34923,48,37011,36298,4,10124,10047,64,44524,37900,64,2440,432,7,47935,2400,6,66289,6788,50,10337,6771,70,100319,43620
5520,268,47338,35776,175,40910,36225,39,4015,1102,268,50960,38916,268,3352,562,20,97642,39563,19,95638,24213,182,13172,6770,317,99058,41086
5521,86,52230,35465,49,35965,33755,14,2527,-734,86,59162,38820,86,6932,872,8,229657,36236,7,219271,152070,61,17162,8546,90,246257,54369
5522,622,46321,35738,374,44449,36966,106,616,276,622,49457,37322,622,3016,463,51,87584,56023,52,56503,23732,435,12498,7647,702,143580,61194
5523,968,53818,42116,685,52704,47265,161,-788,-1344,968,56968,45378,968,2949,687,74,97459,26542,68,88592,13681,691,16973,11215,1051,136904,60619
5540,6890,48393,40166,5656,50235,44134,912,-2026,-1617,6890,50343,41722,6890,1930,753,413,70293,25900,402,48422,17440,5114,12615,8854,8338,102175,45143
5550,491,42157,37567,381,41948,41613,61,545,-149,491,44801,40204,491,2593,653,36,122698,32147,36,110816,28332,365,9571,7135,584,57065,19785
5552,139,47611,38934,72,36774,36856,15,798,-98,139,54106,43089,139,5986,400,7,43884,23584,8,18573,7100,109,13862,7148,158,107077,30343
5554,2791,50100,40926,2034,46443,41162,381,1905,-638,2791,52663,42537,2791,2485,537,235,78822,27000,230,61257,11236,2146,13020,8110,3067,109955,44900
5555,352,49318,39048,179,36335,34450,55,2455,-98,352,55292,44988,352,5076,292,31,66367,32024,29,52221,20213,257,13262,8347,344,132055,48134
5556,1795,42654,34948,1229,44982,38965,286,-1029,-507,1795,45401,36491,1795,2472,498,156,60990,29928,154,42303,13358,1224,10992,7243,2116,121301,48478
5558,2227,43747,34936,1425,43868,38057,339,710,-101,2227,45936,36587,2227,2149,407,233,85450,37268,222,68121,19950,1483,11895,7092,2544,121921,49830
5560,243,60708,47149,143,38093,31790,33,-196,164,243,67464,51047,243,4979,647,22,36294,16356,21,19947,9216,192,17204,10702,277,171126,50670
5570,192,45874,33688,120,41083,34716,18,5809,1036,192,49089,35656,192,2966,416,32,190806,45500,31,164296,23745,123,14784,8256,237,77700,35274
